depth,age,abies,acer,alnus,amaranthaceae,apiaceae,aristolochia,artemisia,asphodelus,asplenium,asteroideae,berberidaceae,betula,boraginaceae,botrychium,brassicaceae,buxus,campanulaceae,cardueae,carpinus,caryophyllaceae,castanea,centaurea,cichorioideae,cistaceae,convolvulaceae,corydalis,corylus,crassulaceae,cyperaceae,dipsacoideae,droseraceae,ephedra distachya,ephedra fragilis,epilobium,ericaceae,erodium,euphorbiaceae,fabaceae,fagus,fraxinus,galium,genista,gentiana,geraniaceae,hedera helix,helianthemum,ilex aquifolium,iridaceae,isoÃ«tes,juglans,juncus,juniperus,lamiaceae,lemna,liliaceae,linum,lonicera,lotus-type,lythrum,myrtus,olea,oleaceae,orobanchaceae,papaver,pedicularis,phillyrea,pinus,pistacia,plantago,poaceae,poaceae (cerealia),podospora,polygonaceae,populus,potamogeton,potentilla,primulaceae,quercus (deciduous),quercus (evergreen),quercus faginea,ranunculaceae,ranunculus,rhamnus,ribes,rosaceae,rubiaceae,rumex,salix,sambucus,saxifragaceae,scrophulariaceae,sedum,selaginella,sordaria,sparganium,sporormiella,tamarix,taxus,thalictrum,thymelaeaceae,tilia,trifolium-type,typha,ulmus,urticaceae,valerianoideae,viburnum,viscum album,vitis
0.5,-56.9,1,,,10,,,2,,,,1,2,,,2,1,1,1,,,2,,,1,,,2,1,2,,,,,,2,,,2,1,6,,8,,,,,,2,,,,8,8,,2,,,1,,,10,,,,1,,189,,1,12,2,,,,1,1,4,8,25,14,2,1,,,1,,1,,,,3,,,,,,,,1,,,1,,,5,,,,
5.5,-50.33333,1,,,11,1,,2,,,2,,2,1,,3,2,,1,,1,1,,2,,,,2,,2,,,,,,1,,,5,5,2,,5,,,,,,,,1,,15,2,,,,,,,,18,,,,,,149,,2,22,1,,,,1,,,17,24,13,5,3,,,3,,1,1,1,,2,,,,,,,,2,,,1,1,1,2,,1,,
10.5,-42.11428,,,,13,2,,3,,,,,3,,,2,1,,,,,4,,1,,,,5,1,2,,,,,,1,,,4,3,3,1,1,,,,,,1,,,2,8,3,,1,,,4,,,12,,,,1,,206,,2,14,2,1,,,3,,3,9,5,1,6,5,,,1,,2,2,,1,1,,,,,,,,,,,1,,,2,,,,
15.5,-30.46667,,,,13,,,6,,,2,,1,,,3,1,1,3,,1,4,,7,,,,2,,1,,1,,3,,1,,,4,,1,1,1,,,,,,,,,1,6,5,,,,,2,,,15,2,,,,,252,,,18,1,,,,1,,3,10,8,4,4,2,,,2,,1,2,,1,1,,1,,,,,,1,,,,,,3,,,,
20.5,-13.25,,,,6,3,,5,,,4,,2,,,1,,,,,,2,2,2,,,,4,,5,,,,1,,1,,,4,4,2,,3,,,,,,,,2,,9,6,,,,,,,,32,,,,1,,141,,2,18,1,,1,,1,,2,11,15,14,4,3,,1,3,,3,,,1,4,,,,,,,,1,,1,,3,,6,,,,
25.5,1325,,,,8,2,,3,,,2,,2,1,,1,,4,1,,,1,,1,,,,2,1,3,,,,,,2,,,1,4,2,1,2,,,,,,,,1,,16,4,,,,,1,,,30,,,2,,,144,,4,22,1,,,,3,,1,12,13,7,4,4,,1,1,,2,,,3,2,,,,,1,,,,,,2,,,3,,,,1
30.5,19.02857,,,1,7,,,4,,,1,,1,,1,,,1,,,1,1,,5,,1,,,,6,,,,,,1,,,1,3,3,1,4,,,,,,1,,1,1,3,3,,,,,1,,,27,1,,1,,,165,,2,22,,,,,,,,12,14,4,2,1,,2,,,2,,1,2,1,,,,,,,,,,,,,,5,,,,
39.5,65.1,,,,14,,1,16,,,4,,1,,2,2,,,1,,4,,3,4,,,,1,,2,,,,1,,1,,,14,2,15,,4,,,,5,,,,,,9,7,,,,,1,,,40,4,,,1,,92,,1,20,,,,1,,,4,9,6,3,8,1,,,5,,,,1,1,4,,1,,,,1,,3,,,2,,,1,,,,1
40.5,70.85,,,,20,2,,9,,,1,,1,,,1,2,,,,1,4,,3,,,,1,1,5,,,,,,,,,9,2,2,,2,,,,,,1,,1,,10,4,,1,,,,,,58,,,,1,,74,,1,20,,,1,1,2,,4,15,11,4,7,5,,1,1,,2,,,1,2,,2,,,,1,,3,,,3,,1,4,,,,
45.5,98.14,,,,10,1,,2,,,5,,3,,,,,1,2,,,2,1,10,,1,,2,,3,,,,1,,3,,,1,3,1,1,,,,,3,,2,,,,7,5,,,,,2,,,22,,,,,,176,,1,29,,2,,,1,,4,6,2,,2,4,,,2,1,,2,,,1,,6,1,,2,2,,1,,,1,,1,3,,,,
54,277.1478,3,,,4,5,,7,,,6,1,3,,2,1,1,,,,1,1,1,15,,,,1,,3,,,,1,,5,,,14,2,,1,7,,,,,,1,,,,2,1,,,,,1,,,11,1,,,,1,151,,1,21,,,,,1,,4,2,3,2,3,3,,,1,,,,,2,,,1,,,,,,1,,,2,,,1,,,,1
59,426.1913,1,,,9,3,,11,,,3,1,2,,,3,,,,,2,,,1,,1,,1,,3,,,,1,,5,,,18,2,14,,2,,,,1,,,,,1,6,10,,,,,,,,36,6,,,,,86,,3,28,1,,,1,1,,4,17,10,7,6,4,,,1,,1,,,,3,1,,,1,,1,,3,,,2,,,7,,,,1
69,521.8929,,,,6,3,,16,,,2,,2,,2,4,,,2,,2,,,3,,,,,,1,,,,,,5,,,21,3,6,,4,,,,,,,,1,,6,5,,,,,1,,,19,2,,,1,,160,,3,20,1,,,,,,1,8,13,5,3,,,,5,,,,,,5,,1,,,,,,1,,,1,,2,4,,,,1
79,595.1071,,,,11,,,32,,1,4,,5,,2,1,,,,,,,,2,,,,2,1,5,,,1,,,5,,,8,1,,2,6,,,,1,,,,,,6,14,,,,,1,,,8,,,,1,,160,,1,18,,,,,,,3,20,16,11,5,4,,,7,,,,,1,6,,,,,,,,2,,,,,3,4,,,,
89,668.3214,1,,,15,2,,39,,,3,,9,,1,1,,,,,1,,,5,,,,4,,7,,,,2,,11,,,12,10,1,,4,,,,1,,,,,,10,6,,1,,,4,,,4,3,,,,,134,,,12,,,,,,,1,7,13,11,4,,1,1,3,,1,,,,6,,,,,,,,2,,,1,,,5,,,,1
99,741.5357,1,,,14,,1,27,,,1,,8,,,2,,,,,2,,,,,,,3,,4,,,,1,,6,,,13,1,,,3,,,,,,,,,,15,3,,,,,1,,,8,2,,,,,123,1,,29,2,,2,,,,1,23,5,7,4,4,,,2,,1,1,,,9,,,,,,2,,4,,,1,,,2,,,,
109,814.75,,,,3,,,57,,1,1,,7,,,,,,,,1,,,2,,,,3,,2,,,,2,,2,,,17,4,,,,,,,,,,,1,,12,7,,,,,4,,,,1,,,1,,139,,5,13,,,,,,,1,5,3,2,5,2,,1,1,,1,,,,5,2,,,,,2,,3,,,2,,1,4,,,,1
119,887.9643,,,,11,1,,34,,,2,,8,1,2,,,,,,1,,,3,,,,2,,7,,,,,,8,,,25,4,2,,5,,,,,,,,,,11,5,,1,,,1,,,1,2,,,1,,152,,,36,2,,,,,,2,9,5,4,4,4,,,5,,,,,,11,,1,,,,,,2,,,2,,1,3,1,,,1
129,961.1786,,,,5,4,1,20,,,2,,13,,,1,,,,,4,,,1,,1,,1,,7,,,,,,8,,,11,11,1,,6,,,,,,1,,1,,11,16,,3,,,3,,,2,1,,,1,,110,1,3,35,4,,,,,,5,11,11,7,6,4,,,3,,3,,1,,4,1,,,,,4,,2,,,4,,2,4,1,,,4
139,1034393,2,,,8,3,,35,,,3,,16,,1,1,,,,,1,,,6,,,,5,,4,,,,1,,3,,,16,,,,,,,,1,,,,1,1,5,8,,1,,,1,,,2,1,,,,,164,,5,32,1,,1,,,,3,12,4,8,6,4,,,5,,1,,1,,1,,,,,,3,,2,,,1,,1,6,,,,
149,1107607,1,,,5,1,,17,,,6,,10,,2,,,1,1,,3,2,1,2,,,,9,,4,,,,,,5,,,14,4,1,,3,,,,2,,1,,1,,6,10,,,,,4,,,1,,,,1,,126,1,6,36,,,,,3,,5,5,3,4,8,4,,,1,1,,,1,1,3,1,,,,,2,,1,,,4,,1,5,,,,1
159,1180821,1,,,5,3,,20,,,2,1,14,,1,,3,,,,1,2,,,,,,3,,4,,,,,,3,,,11,9,1,1,3,,,,1,,,,1,,7,8,,,,,2,,,3,,,1,1,2,83,,2,40,4,,,2,1,,3,17,9,10,6,6,1,1,3,,7,1,,,4,1,,,,,3,,3,,,3,,3,3,,,,3
169,1254036,2,,1,5,1,,34,,,1,,4,,,,,,1,,,1,,2,,,,4,,7,,,,,,6,,,14,8,1,,5,,,,2,,,,,,7,15,,,,,4,,,1,3,,,,,132,,1,28,1,,,,2,,6,11,8,13,8,5,,,1,,,1,,,2,,,,,,3,,10,,1,2,,,4,1,,,
180,1384855,1,,1,5,3,,24,,,3,,3,,,1,,,1,,2,1,,2,,,,3,,2,,,,,,5,,,22,3,,,4,,,,1,,,,,,4,15,,,,,,,,,1,,,1,,113,,1,23,,,,,,,5,12,8,5,12,4,1,1,2,,1,,,4,5,,,,,,6,,2,,,7,,,5,,,,1
190,1520923,1,,,7,,,15,,,2,,9,,,,,,,,3,,,4,,,,6,1,2,,,,,,6,,,21,5,,1,1,,,,,,1,,,,4,15,,,,,6,,,,1,,,,,122,1,3,20,1,,,,1,,4,9,2,3,7,3,,,5,,1,,,,9,,,,,,1,,2,,,2,,1,5,,,,1
200,1656991,1,,2,6,2,,13,,1,1,,2,,,1,,,,,1,,,2,,,,7,,2,,,,,,3,,,24,6,,,9,,,,,,,,,,5,16,,,,,4,,1,1,,,,1,,137,,1,13,,,,,,,11,21,12,12,10,5,,,4,,,,,3,8,3,,,,,,,3,,2,2,1,,3,,,,
206.5,1745436,1,,2,10,2,,23,1,,1,1,13,,,,,2,,,,,,2,,,,2,1,4,,,,,,1,,,15,6,2,,3,,,,,,,,,,10,12,,1,,,1,,,1,,,,,,117,,1,39,2,,,1,1,,2,6,9,3,1,4,,,4,,,,,,3,,,,,,,,1,,,,,2,11,,,,1
216.5,1881504,5,,1,3,,,10,2,1,1,1,6,,,,,,,,,1,,4,,,,6,1,3,,,1,,,3,,,33,17,,,2,,,,,,1,,,,7,16,,1,,,,,,1,1,,,,,138,,1,22,,,,1,,,1,19,5,5,10,4,,,4,,,,,,4,,,,,,,,1,,,1,,1,9,,,,1
226.5,2017573,1,1,,6,1,,9,,,3,,5,,1,,,,,1,,1,,6,,,,5,,1,,,,1,,3,,,34,4,1,1,3,,,,,,2,,,,11,13,,,,,2,,,3,,,,,,129,,,24,,,,,,,1,6,10,11,3,2,,,5,,,,,,1,,,,,,,,1,,,2,,,4,,,,
236.5,2176154,3,,1,3,4,,23,,,3,,8,,,1,,,,,1,,,4,,,,4,,4,,,,,,3,,,33,4,2,,4,,,,,,,,,,7,18,,,,,,,,3,,,,1,,128,,1,24,1,,,,,,4,12,9,13,8,2,,,2,,,,,,2,,,,,,,,4,,2,1,,,11,,,,2
246.5,2349744,5,,1,7,2,,16,,,2,,8,,,2,,1,,1,1,,,7,,,,3,,4,,,,1,,1,,,24,1,,,5,,,,2,,1,,,1,7,6,,,,,,,,1,,,,,,130,,3,24,1,,,,,,1,20,5,4,8,5,,,4,1,,3,,,1,,,,,,,,4,1,1,,,1,21,,,,
256.5,2523333,10,,1,7,3,,33,,1,2,,3,1,,1,,,1,,,,,1,,,,9,,2,,,,,,9,,,33,4,,,4,,,,2,,,,,,12,11,,2,,,2,,,,,,,,,140,,2,28,,,,1,,,3,19,9,10,9,6,,,5,,,1,,,4,,,,,,1,,4,,1,,,1,8,,,,
266.5,2696923,10,,,6,2,,29,,,4,1,11,,,1,,,,,,1,,2,,,,5,,,,,,,,2,,,28,3,,,7,,,,1,,,,,,6,12,,1,,,1,1,,,,,,,,157,,3,23,,,,1,,,3,15,9,8,7,,,,4,,,1,,,2,1,,,,,1,,4,,,,,,4,,,,
273.5,2788412,3,,2,7,2,,9,,,,,9,,,,,,,,,,,2,,,,9,,4,,,,1,,2,,,33,4,,,4,,,,1,,,,,,6,12,,,,,3,,,2,,,,1,,116,,1,18,,,,1,2,,1,20,10,4,8,5,,,8,,1,1,,,2,1,,,,,1,,4,1,,,,2,3,,,,
283.5,2886941,4,,,7,2,,6,,,2,,6,,,,,,,,,,,2,,,,8,,2,,,,,,2,,,37,5,,,5,,,,,1,,,,,12,7,,,,,,,,,,,,,,136,,3,23,,,,,,,1,13,10,8,8,5,,,5,,,,,,,,,,,,,,2,,,,,1,3,1,,,
293.5,2985471,17,,,5,2,,9,,,1,,5,1,1,,,,1,,,,1,2,,,,7,,2,,,1,2,,4,,1,21,5,,,7,1,,,1,1,,,,,3,8,,,,,1,,,1,,,,1,,160,,4,14,1,,,,,,1,19,5,7,3,6,,,9,,1,,,,4,,,,,,,,2,1,,,,,6,1,,,
303.5,3084,5,,1,7,,,5,,,2,,9,,,1,1,1,2,,,,,5,,1,,7,,4,,,,,,2,,,26,2,,,6,,,,,,,,,,6,13,,,,,1,,,,,,,,,185,,1,22,,,,,,,,20,9,6,4,4,,1,9,,1,,,,2,,,,,,,,1,,,,,,4,,,,
313.5,3182529,9,,1,8,1,,6,,,1,1,3,,,,1,,,,3,,,3,,,,5,,9,,,,,,4,,,17,4,,,5,,,,,,,,,,11,11,,1,,,,,,1,,,,1,,113,1,3,22,,,,,,,1,25,5,6,10,5,,,15,,,,,,2,1,,,,,,,,,,,,,5,,,,
323.5,3281059,4,,4,5,3,,2,,,2,2,7,,,1,2,1,,,1,,,5,,,,11,2,2,,,,1,,5,,,30,5,,,5,,,,,,1,,,,9,6,1,1,,,1,,,1,,,2,1,,89,,3,26,,,,,2,,2,11,18,15,1,1,,,2,1,,1,,1,3,,,,,,,,2,,1,,,3,6,,,,
333.5,3379588,6,,6,5,4,1,9,1,,4,2,4,,,1,,4,2,,4,,,5,,,,9,,1,,,1,,,5,,,22,6,,,2,,,1,2,,,,1,,7,10,1,,,,,,,,,,,1,,136,,3,17,,,1,,1,,1,10,15,11,2,3,1,1,3,,,2,,,3,,,,,,,,3,,,1,,2,8,,,,
343.5,3474882,6,,5,8,3,,8,,,2,2,5,,1,1,,2,,,1,,,4,,,,16,,4,,,,,,4,,,24,4,,1,5,,,,,1,,,1,,5,8,,1,,,4,,,,,,,1,,117,,1,14,,,,,,,,11,14,15,3,4,,,2,,,,,,5,,1,,,,,,,,1,,,1,5,1,,,
353.5,3568018,11,,2,7,2,,3,1,,3,,11,1,,2,,1,1,,,,,11,,,,14,,2,,,,1,,7,,,26,5,,,3,1,,,,1,,,,,8,9,,2,,,2,,,,1,,,,,110,,,19,,,,3,1,,2,5,7,3,6,3,1,,1,1,,1,,,7,,,,,,1,,2,,1,2,,,6,,,,
363.5,3661154,22,,3,5,6,,3,,,3,,6,,,,,,,,1,,,5,,,,9,,,,,1,2,,2,,,22,5,,,3,,,,1,,1,,,,6,5,,,1,,2,,,,1,,,,,121,,2,21,,,,,1,,3,8,15,7,2,2,2,,2,,,2,,,7,,,,,,1,,2,,1,4,,1,5,,,,
377,3786888,14,,4,8,,,1,,,1,,7,,,3,1,,,,1,,,4,,,,19,1,2,,,,1,,4,1,,28,1,,,5,,,,1,,1,,,,2,6,,5,,,1,,,,,,,,,119,,,30,,,,1,3,,,1,3,3,1,2,,,3,,,1,,,2,1,,,,,1,,,,,3,,,6,,,1,
382,3833456,2,,,9,,,14,,,,,11,,,1,2,,,,2,,,,,1,,8,,3,,,,1,,1,,,14,6,,1,2,,,,,,,,,,9,8,,,,,1,,,2,2,,,1,,72,1,3,23,1,,,,,,3,8,40,11,1,,,,11,1,1,2,,1,5,,,,,,2,,,,,,,2,11,,,,
392,3926592,3,,1,3,,,8,,,,,11,,,1,,1,,,,,,3,,,,14,,2,1,,,,,4,,,30,1,,1,3,,,,,,1,,,,2,12,,2,,,3,,,,,,,,,87,,1,30,,,,,3,,6,12,25,12,2,3,,,2,,2,,,,10,1,,,,,1,,2,,1,1,,,7,,2,,
402,4019728,3,,1,5,2,1,7,,,5,,19,,,2,,,1,,3,,,1,,,,8,,3,,,,,,2,,,36,2,1,,2,,,1,1,,,,,,5,9,,2,,,3,,,,1,,,,,97,,,17,,,,,2,,3,10,5,10,7,2,,,4,1,1,1,,1,6,1,,,,,1,,1,1,2,1,,1,6,,,,
408,4075609,3,,,11,2,,10,,,1,,24,,,,,,,,1,,,,,,,12,,2,,,,,,,,,30,4,1,2,6,,,,,,,,,1,6,,,1,,,6,,,,,,,2,,65,,2,35,,,,,1,,3,14,19,15,1,1,,,2,,3,,,,18,,,,,,,,1,,1,2,1,3,6,,1,,
418,4168746,6,,,4,3,,8,,,,1,23,,,3,,,,,1,,,1,,,,3,,1,,,,,,3,,1,27,3,,,7,,,,1,,1,,,,8,8,,2,,,7,,,,1,,,,,68,,1,12,,,,,1,,3,9,19,12,10,2,1,,9,1,,,,,12,1,,,1,,1,,1,,1,4,,,3,,,,
428,4336.2,4,,1,4,3,,8,,,1,,34,,,2,1,,,,1,,1,,,,,4,,2,,,,,,1,,,44,6,1,,6,,,,1,,,,,,4,10,,,,,4,,,,,,,,,74,,,9,,,,,1,,4,12,30,21,12,3,,,2,,3,,,1,6,1,,,,,3,,1,,1,,,1,1,1,,,
438,4553.2,5,,,3,3,,8,,,2,1,24,,,1,,,,,2,,,,,,,4,,,,,,1,,3,,,23,3,,,24,,,,,,,1,,,8,7,,,,,2,,,,,1,,,,98,,1,20,,,,,,,3,14,9,,10,2,,1,3,,1,,,2,16,,,,,,,,,,,1,,,2,,,,
443,4661.7,6,,,3,3,,10,,1,2,,21,1,,2,,3,,,,,,2,,,,5,2,1,,,,,,2,,1,21,1,,1,2,,,,1,1,,,,,5,5,,2,,,2,,,,,,,2,,119,,,25,,,,,1,,1,2,20,11,2,,,,3,1,3,1,,1,9,,,,,,1,,1,,1,1,,2,2,,1,,
448,4770.2,9,,,5,2,,12,,2,2,,20,1,,1,,,,1,2,,,,,,,9,,1,,,,2,,1,,,19,2,1,,2,,,1,,,1,,,,6,10,,1,,,1,,,,,,,2,,148,,,24,,,,,1,,,7,16,18,1,3,,,2,2,1,,,,6,,,,,,,,,,2,3,,,4,,,,
458,4987.2,6,,1,1,,,7,,,,1,24,,,1,1,,,,1,,,,,,,9,,1,,,,,,2,,,37,2,,,1,,,,2,,,,,,2,6,,,,,2,,,,,,,1,,103,,,12,,,,,,,3,10,22,29,6,2,,,4,1,,1,1,,6,4,,,,,1,,1,,2,2,,1,3,,,,
468,5204.2,6,,4,8,1,,2,,1,2,,13,,,1,,,,,2,,,2,,,,9,,1,,,,,,3,,,22,,,,3,,,,,,,,,,2,8,,1,,,4,,,,,,,,,175,,,17,,,,,,,,1,3,6,3,,,,,,,,,,1,1,,,,,,,1,,,5,,,2,,,,
478,5421.2,7,,1,4,2,,1,,1,3,,19,,,1,,,,,1,,,,,,,4,2,3,,,,1,,7,,,22,1,1,,2,,,,,,,,,,3,7,,2,,,5,,,,,,,,,104,,,18,,,,2,,,6,12,30,30,5,1,1,1,6,,2,,,,5,,,,,,1,,,,4,4,,,4,,,,
488,5638.2,3,,,2,2,,4,,1,1,,25,,,1,,,,,1,,,,,,,5,,3,,,,,,1,,,20,2,1,,4,,,,1,,,,,,2,1,,,,,2,,,,1,,,,,98,,,9,,,,,1,,4,9,28,25,3,2,,,5,,,,1,,11,,,,,,,,,,3,1,,,2,,,,
498,5855.2,2,,1,5,2,,5,,,1,,65,,,4,1,,,,1,,,,,,,8,,1,,,,1,,1,,,21,1,,,9,1,,,,,,,,,3,5,,1,,,,,,,,,,1,,73,,,10,,,,,,,5,20,20,20,6,3,1,,2,,,,,2,7,1,,,,,1,,,,2,3,,,3,,,,
508,6012909,,,,9,5,,6,,,1,,91,,1,4,1,,,,2,,,,,,,14,,1,,,,,,2,1,,17,,4,,6,,,,,1,1,,1,,3,3,,1,,,2,,,,1,,1,2,,57,,,13,,,,,,,4,12,15,30,3,2,1,,4,,,1,1,2,4,2,,,,,1,,1,,7,,,2,2,,,,
518,6131091,1,,1,5,2,,5,,,,,45,,,5,,1,,,1,,,,,,,10,2,2,,,,,,1,,,27,,,1,6,,,,,1,,,,,6,9,,1,,,4,,,,,,,1,,72,1,1,24,,,,,1,,1,34,20,27,2,4,,1,1,,,3,1,,7,2,,,,,,,1,,9,3,,2,3,,1,,
523.5,6196091,,,1,6,2,,11,,,,,48,,,3,,,,,2,,,,,1,,13,3,1,,,,,,1,,,19,,1,,4,1,,,3,,,,,,1,12,,,,,6,,,,2,,,,,58,,1,20,,,,1,1,,,34,18,40,2,3,,1,2,1,2,3,1,2,6,1,,,,,1,,1,,4,,,1,6,,1,,
533.5,6314273,,,1,3,,,12,,,,,51,,,1,1,1,1,,1,,,,,,,6,1,1,,,1,,,1,,,14,,1,,4,,,,,,,,,,1,8,,,,,2,,,,,,,,,118,1,4,14,,,,,1,,2,26,18,20,6,1,,,1,,1,,,1,5,1,,,,,2,,1,,1,,,1,4,,1,,
546.5,6467909,,,2,2,2,,14,,,1,,61,,,1,1,1,,,1,,,,,,,16,4,1,,,,,,1,,,19,,1,,6,1,,1,1,,,,,,1,9,,1,,,1,,,,,,,1,,108,,1,17,,,,,,,4,36,8,10,4,1,,,3,1,1,1,,1,5,3,,,,,2,,1,,3,,,,1,,1,,
556.5,6586091,,1,2,1,4,,8,,,1,,64,2,,4,1,,,,1,,,,,,,16,,1,,,,,,,,,17,,2,,3,1,,1,1,1,,,,1,3,8,,1,,,,,,,,,,,,69,,1,23,,,,2,2,,1,40,10,25,2,3,,1,5,2,1,6,2,,7,2,,,,,,,1,,2,1,,2,5,,,,
566.5,6681696,,,,1,6,,5,,,,,54,,,4,,,1,,2,,,,,,,17,3,1,,,,,,1,,,7,,2,,5,2,,,,,,,,,1,13,,3,,,1,,,,,,,1,,76,,1,17,,,,,1,,7,40,12,18,4,2,,1,11,1,1,1,,3,5,2,,,,,1,,,,7,,,1,,,1,,
