age,Abies,Acer,Alnus,Amaranthaceae,Apiaceae,Aristolochia,Artemisia,Asphodelus,Asteroideae,Berberidaceae,Betula,Boraginaceae,Brassicaceae,Buxus,Campanulaceae,Cardueae,Carpinus,Caryophyllaceae,Castanea,Centaurea,Cichorioideae,Cistaceae,Convolvulaceae,Corydalis,Corylus,Crassulaceae,Cyperaceae,Dipsacoideae,Droseraceae,Ephedra distachya,Ephedra fragilis,Epilobium,Ericaceae,Erodium,Euphorbiaceae,Fabaceae,Fagus,Fraxinus,Galium,Genista,Gentiana,Geraniaceae,Hedera helix,Helianthemum,Ilex aquifolium,Iridaceae,Juglans,Juniperus,Lamiaceae,Lemna,Liliaceae,Linum,Lonicera,Lotus-type,Lythrum,Myrtus,Nymphaea,Olea,Oleaceae,Papaver,Phillyrea,Pinguicula,Pinus,Pistacia,Plantago,Poaceae,Poaceae (Cerealia),Podospora,Polygonaceae,Populus,Potentilla,Primulaceae,Quercus (deciduous),Quercus (evergreen),Quercus faginea,Rhamnus,Ribes,Rosaceae,Rubiaceae,Rumex,Salix,Sambucus,Saxifragaceae,Scrophulariaceae,Sedum,Tamarix,Taxus,Thymelaeaceae,Tilia,Trifolium-type,Ulmus,Urticaceae,Valerianoideae,Viburnum,Viscum album,Vitis,total,Sordaria,Sparganium,Sporormiella,Triletes,Triletes (scabrate),Typha,Selaginella,Orobanchaceae,Osmunda,Asplenium,Botrychium,IsoÃ«tes,Juncus,Monoletes,Monoletes (rugulate),Myriophyllum,Pedicularis,Polypodium,Potamogeton,Ranunculaceae,Ranunculus,Thalictrum
6743.4,,,,4,4,,2,,2,,40,,4,,,,,,,,2,,,,16,3,2,,,,1,,1,,,17,,,,2,,,,,,1,,5,11,,1,,,1,,,,,,1,,,82,,1,27,,,,1,,5,31,10,22,,,3,,1,2,,,10,3,2,,,6,2,3,4,,,,,335,,,,,,,,,,,,,,,,13,2,,1,5,,1
6805.1,,,2,2,3,,9,,,1,45,,4,2,,1,,5,,,1,,,,16,2,2,,,,,,,,,15,,3,,3,1,,,3,,,,1,10,,,,,,,,,,,,,,83,,,12,,,,,,4,30,12,15,,,7,1,2,2,1,1,5,2,1,,,6,2,3,3,,1,,,324,,,,,,1,,,,1,,,,1,,9,1,,,3,4,
6866.9,,1,,2,4,,11,,2,,58,1,2,,,1,,3,,,4,,,,23,3,4,,,2,,,1,,,21,,1,,3,1,,,,,,,4,10,,,,,,,,,,,,,,76,,,17,,,,,,2,28,8,15,,,4,1,2,2,,1,7,,1,,,7,3,1,4,,1,,,342,,,,,1,,,,,,,,,2,,6,,,2,1,1,1
6928.6,,1,1,1,1,,7,,1,,43,1,4,,,,,1,,,,,,,19,1,1,,,2,,,1,,,21,,1,,3,,,1,2,,,,7,10,,1,,,2,,,,,,,,,85,1,1,11,,,,1,2,3,40,8,4,,1,6,,,5,3,,12,1,,,,3,,2,1,,2,,,325,,,,,,,,,,,,,,,,5,,,2,4,1,1
6990.3,,,,2,8,,7,,1,2,51,,3,,,,,1,,,1,1,,,17,4,1,,,,1,,1,,,16,,1,,3,1,,,1,,1,,2,9,,2,,,,,,,,,,,,91,1,,11,,,,,,4,28,8,17,,,5,1,,5,,2,6,2,1,1,,5,1,2,4,1,,,,333,,,,1,,,,1,,,,,,1,,9,,,1,3,4,1
7052.1,,,1,3,6,,3,,2,,41,,,,,2,,,,,1,,1,,21,3,,,,,,,,,,15,,1,,1,,,,3,,1,,5,6,,8,,,1,,,,,,,,,127,,,11,,,,,,,20,8,21,,1,6,1,,2,,,2,3,1,,,5,1,,,,,,,334,,,,,,,,,,,,,,,,6,,,,,1,
7113.8,,,2,2,7,,7,,,1,52,,4,,,1,,2,,,6,1,1,,19,1,4,,,,,,,,,14,,,,3,,,,3,,1,,3,13,,2,,,1,,,,,1,,,,78,,,13,,,,3,,1,24,3,3,,1,5,2,,,,1,,1,2,,,6,3,1,1,1,,,,300,,,,,,,,,,,,,,1,,5,1,,,5,2,
7175.6,1,,,2,3,,4,,,,53,,2,,,,,1,,,,,,,15,2,1,,,1,,,1,,,31,,2,,1,,,,,,,,1,20,,1,,,,,,,,,1,,,85,1,,12,,,,1,,2,28,10,24,,1,4,,,1,,1,3,1,2,,,4,,,1,,1,,,325,,1,,1,,,,,,,,,,1,,4,,,2,3,2,
7237.3,,,2,1,2,,6,,2,1,41,,1,,,1,,2,,,,,,,23,,1,,,,1,,,,,18,,2,,,,,,,,,,3,11,,1,,,,,,,,,,,,114,,,5,,,,,,1,30,6,12,,,7,,,2,,1,2,1,1,,,2,1,,9,,,,,313,,,,4,,,,,,,,,,,,6,,,1,3,1,
7299,,,1,2,4,,8,,2,,59,,5,,,,,3,,,,1,,,11,2,2,,,,,,,,,15,,,,,1,,1,,,,,1,8,,,,,1,,,,,,,,,72,1,,10,,,,1,,2,28,18,40,,,10,,,3,,3,5,3,,,,10,3,2,1,,1,,,340,,,,,,,,,,,,,,,,11,1,,,6,,1
7360.8,,,,1,2,,2,,,,27,,,,,,,,,,2,,,,28,,2,,,1,,,,,,9,,,,8,,,1,,,,,3,3,,1,,,,,,,,,,,,116,,,8,,,,4,,,18,12,21,1,,2,1,,5,,,4,,,,,4,,2,4,,,,,292,,,,3,,,,,,,,,2,,,5,,,,,6,2
7425,,,,,3,,5,,2,,42,,2,,,,,5,,,2,2,,,21,2,2,,,,,,,,,12,,,,,,,1,,,1,,7,6,,3,,,1,,,,,,,,,108,,,18,,,,1,,4,35,9,31,,,4,1,,2,,2,2,,,,,4,,1,4,,,,,345,,,,,,,,,,,1,,,1,,9,1,,1,2,,
7512.1,,,,2,2,,4,,4,,49,,2,,,,,1,,,1,1,,,21,4,4,,,,1,,,,1,15,,,,,,,1,1,,1,,3,4,,2,,,,,,,,,,,,110,,,11,,,,1,,3,20,12,24,,,10,,,,1,,4,,1,,,3,,,3,,,,,327,,,,,,,,,,,1,,,,,7,,,2,4,1,
7576.6,,,1,2,6,,3,,2,4,40,,5,,1,,,5,,1,2,,3,,14,2,1,,,,,,,,,19,,1,,2,,,,6,,,,1,4,,1,,,1,,,,,2,,,,125,,,24,,,,,,2,18,14,18,,1,6,,,2,,1,5,1,,,,1,5,1,1,1,,,,355,,,,,,,,,,1,,,,,,4,,,1,2,,
7641.1,,,,1,6,,7,,2,,39,,1,,,,,2,,1,1,4,1,,15,3,5,,,,,,,,,22,,1,,3,,,,6,,,,1,14,,2,,,,,,,,,1,,,105,,1,16,,,,1,1,1,22,4,25,,1,4,1,,,,1,2,,,,,5,1,1,2,,,,,332,,,,,,,,,,,,,,,1,4,,,1,7,3,
7705.6,,,,3,4,,11,,1,1,58,,6,,,,,4,,2,,,1,,14,4,1,,,,,,,,,29,,1,,1,,,,2,,1,,1,6,,1,,,2,,,,,1,1,,,71,1,,16,,,,,,4,16,18,28,,1,1,2,1,3,,1,1,1,1,,,2,4,4,2,,,,,334,,,,1,,,2,,,,,,,,,5,,,1,7,1,1
7770.1,,,,3,11,,2,,1,,45,2,5,,,,,1,,,1,1,,,22,1,2,,,,,,,,,22,,,,,1,,,6,,,,2,9,,3,,,2,1,,,,1,,,,85,1,1,29,,,,,1,1,31,18,20,,,9,5,2,5,,,2,1,,,,1,1,1,5,,,,,363,,,,,,,,,,,,,,,,11,,1,,4,2,
7834.7,,,,3,14,,3,,2,1,57,,2,,1,,,7,,,,,,,19,5,,,,,,,,,,18,,,,6,1,,,5,,,,3,15,,,,,5,,,,,1,2,,,61,1,,12,,,,,,5,20,22,20,,,12,,1,1,,3,3,1,2,,,2,6,1,4,,,,,347,,,,,,,,,,,,,,,,4,,,1,12,2,1
7899.2,,,,4,8,,6,,2,1,51,,4,1,,,,,,,1,,,,14,3,1,,,,,,,,,13,,1,,7,1,,,1,,,,2,6,1,1,,,1,,,,,1,,,,109,,1,13,,,,,1,,16,11,13,,,5,,1,3,,,2,,3,,,1,6,1,3,,,,,320,,,,,,,1,,,,,,,,,2,1,1,1,13,3,
7963.7,,,,6,1,,6,,,,64,,4,,,,,3,,,,,1,,23,5,2,,,1,,,,,,10,,,,7,,,,2,,1,,4,11,,1,,,1,,,,,,1,,,82,1,,18,,,,,,3,12,12,34,,,2,,,1,,3,3,2,,,,1,2,2,5,,,,,337,,,,,,,,1,,1,,,,,,5,1,,,4,4,1
7995.9,,,,2,6,,5,,1,,49,,1,,,1,,3,,,1,,,,41,2,4,,,,1,,,,,10,,,,1,,,,,,,,5,9,,,,,6,,,,,,,,,72,,,23,,,,,,5,6,2,13,,,4,1,,7,,,7,1,,,,,2,,7,,,,,298,,,,,,,,,,,,,,2,,4,,,,4,,2
8028.2,,,,2,6,,1,,3,,48,,4,,,,,4,,,5,1,,,23,1,1,,,1,1,,1,1,,10,,,,3,,,,1,,1,,5,10,,4,,,2,,,,,1,,,,97,,,10,,,,,,3,14,7,9,,,3,,,1,,1,5,1,,,,1,5,2,8,,,,,307,,,,,,,1,,,,1,,,,,11,,,2,6,2,
8060.4,,,,1,9,,4,1,3,,45,,2,,,1,,4,,,3,,,,24,2,3,,,,,,1,,,5,,1,,1,,,,2,,,,6,4,,2,,,3,,,,,1,,,,78,,,32,,,,1,,,13,5,9,,,7,,,1,,2,3,1,1,,1,,6,3,8,1,,,,300,,,,,,,1,,,1,,,,,,9,,,1,6,1,1
8092.7,,,,5,3,,2,,,,37,,1,,,,,,,,,,,,16,,11,,,,,,,,,18,,,,17,,,1,,,,,11,5,1,,,,,,1,,,,,,,73,,,20,,,,2,,,36,7,,3,,2,,2,2,,,,,,1,,,,2,9,,,,,288,,,,,,,,,,,,,3,,,7,,,,,8,1
8125,,,,1,19,,3,,2,1,37,,3,,,1,,4,,,1,,,,20,3,1,,,,1,,1,1,,5,,,,5,1,,,4,,,,5,6,,,,,2,,,,,,,,,77,,,27,,,,,,7,21,4,9,,,5,,,,,1,2,2,,,,1,6,1,4,1,,,,295,,,,,,,,,,1,,,,4,,7,,,,8,3,
8147,,,,2,1,,6,,5,,51,,5,,,,,1,,1,2,,,,22,4,2,,,,,,1,,,,,,,7,,,,1,,,,1,6,,,,,,,,,,1,,,,123,1,1,4,,,,,,1,6,8,18,,,4,1,1,1,,4,3,1,,,,,2,1,7,,,,,306,,,,,,,,,,1,,,,1,,12,1,,,5,1,2
8169.1,,,,3,5,,2,,2,,54,,3,,,1,,1,,,5,,,,15,,,,,1,,,1,1,,16,,,,6,,,,2,,,,5,4,,3,,,1,,,,,,,,,158,1,,17,,,,,,2,6,8,12,,,3,,,2,,,2,1,,,,,2,1,7,,,,,353,,,,,,,1,,,,1,,,1,,3,1,,,3,1,
8191.1,,,,1,5,,4,,6,,60,,2,,,,,2,,1,1,,,1,18,4,,,,,1,,,,,21,,,,4,,,,2,,,,5,10,,3,,,,,,,,1,,,,140,,,7,,,,,,,4,10,2,,,2,,,1,,2,1,,,,,,4,,10,,,,,335,,,,,,,,,,,,,,,,3,,,,5,3,
8213.2,,,,1,7,,4,,2,1,41,,1,,,2,,3,,,8,,,,13,,2,,,2,2,,,1,,13,,,,5,1,,,2,,,,4,8,,1,,,2,,,,,1,,,,162,1,,21,,,,,,1,6,8,12,,,3,,,1,,1,1,1,,,,,2,,6,,,,,353,,,,,,,,,,,,,,1,,4,,,,6,1,1
8235.3,,,,,1,,1,,1,,22,,1,,,,,3,,,5,1,,,8,2,3,,,,1,,1,,,17,,,,4,,,,3,,,,12,4,,9,,,,,,,,1,,,,249,,,21,,,,,,1,11,2,11,,,1,,,,,2,5,,,,,,1,1,1,,,,,406,,1,,,,,,,,,,,1,,,1,,,1,6,3,
8257.3,,,,1,3,,1,,,,18,,,,,1,,,,,4,,,,10,,1,1,,,,,1,,,13,,,,6,,,,1,,,,6,3,,,,,1,,,,,,,,,313,,1,21,,,,,,,10,8,8,,,,,,,,,4,,,,,,3,,5,,1,,,445,,,,,,,,,,2,,,,,,2,,,2,3,3,
8279.4,,,,1,2,,2,,1,,20,,1,,2,,,1,,,6,,,,5,1,1,,,1,,,,,,16,,,,2,,,,2,,,,10,12,,2,,2,,,,,,,,,,335,,,16,,,,,,1,11,4,14,,,,,,,,,7,,,,,,,1,1,,,,,480,,,,,,,,1,,,1,,1,,,4,,,1,7,1,
8301.4,,,,,1,,1,,,,17,,4,,,1,,2,,2,10,,,,13,1,2,,,1,,,,,,15,,,,6,,,,2,,4,,5,2,,1,,,1,,,,,,,,,478,,,24,,,,1,,1,2,4,8,,,1,,,,,,3,,,,,,1,,1,1,1,,,617,,,,,,,,,,1,,,,1,,2,,,,2,1,
8314.7,,,,1,3,,5,,1,1,29,,4,,1,,,4,,1,11,,,,14,,1,,,,,,,,,13,,1,,4,3,,,3,,,,12,8,,4,,,2,,,,,,1,,,261,,,19,,,,,,4,6,6,13,,,1,,,,,,3,,,,,,1,,7,,,,,448,,,,,,,,,,,,,,,,4,,1,,4,2,
8336.7,,,,4,4,,2,,2,,19,1,2,,,1,,2,,,7,,1,,14,,4,,,,3,,,,,13,,,,2,,,1,7,,1,,5,1,,,,1,1,,,1,,,,,,279,,1,13,,,,1,,,4,1,10,,,1,,,,,1,,,,,,,3,,2,,,,,415,,,,,,,,,,,,,2,2,,3,,,,,2,
8358.8,,,,4,1,,4,,,,25,,1,,,,,,,,4,,,,5,2,2,,,,1,,,,,9,,1,,4,,,,1,,,,10,7,,2,,,1,,,,,,,,,366,,,18,,,,,,,6,2,8,,,,,,,,,2,,,1,,,,1,3,,,,,491,,,,,,,,1,,,,,,,,5,,,1,5,,
8389.7,,1,,2,,,1,,,,11,,1,,,2,,2,,,3,,,,3,2,,,,,,,,,,7,,,,8,,,,,,,,7,2,,,,,,,,,,,1,,,285,,,7,,,,,,3,10,1,12,,,,,,,,2,7,1,,,,3,,,5,,,,,389,,,,,1,,1,,,3,,,1,3,1,6,,1,,2,1,
8411.7,,1,,3,6,,6,,4,,29,,4,,1,,,2,,,1,,,,16,4,1,,,,,,,,,20,,,,24,,,,2,,,,14,7,,,,1,1,,,,,,,,,106,,,25,,,,,,,8,8,,,,1,,1,1,,,,,,,,1,3,,6,,,,,307,,,,,,,,,,,,,,,,1,1,,,4,1,1
8455.9,,,,1,3,,2,,2,,47,,3,,1,1,,1,,,2,,,,9,4,,,,,1,,,1,,19,,,,18,,,,,,,,5,12,,3,,,,,,,,,,,,130,,,18,,,,,,4,2,4,,,,,1,,,,1,1,,1,1,,1,2,,5,,,,,306,,,,,,,1,,,1,,,,,,4,,,,7,2,
8500,,,,3,3,,4,,1,,27,,5,,2,,,2,,,1,,,,13,7,2,,,,1,,,,,26,,,,11,,,,,,,,9,14,1,5,1,,,,,,,1,,,,116,1,,28,,,,,,5,10,10,18,1,,,,,1,,,3,,,,,,1,,5,,,,,338,,,,,,,,,,,,,,,,3,,,1,4,2,
8544.1,,1,,1,4,,1,,1,,28,,1,,1,,,,,,,,,,10,1,2,,,,,,,,,17,,,,2,,,,,,,,8,10,,1,,,,,,,,,,,,143,,,20,,,,,,2,12,3,16,,,2,,,2,1,,,,1,,,,,,2,,,,,293,,,,,,,,1,,,,,,,,4,,,1,6,3,
8588.2,,,,3,2,,3,,1,,38,,5,,1,,,1,,,4,,,,14,7,,,,,,,,,,9,,,,3,,,1,,,,,12,8,,1,,,1,,,,,1,,,,122,,,27,,,,,,3,10,8,14,,,3,,,,,,1,,,,,,,,6,,,,,309,,,,,,,,2,,,,,,,,3,,,1,7,2,1
8632.3,,,,2,3,,4,,3,,48,,4,,,,,,,1,3,,,,10,5,2,,,,,,,,,8,,,,3,,,,,,,,8,9,,4,1,,,,,,,1,,,,115,1,,23,,,,,,3,20,8,20,,,2,,,1,,1,6,,1,,,,,,4,,,,,324,,,,,,,,,,,,,2,,,3,,,1,6,1,
8676.5,,,,2,5,,4,,3,,37,,3,,2,,,1,,,3,,,1,9,1,2,,,,,,,,,13,,,,15,,,,,,,,9,11,,1,,,,,,,,1,,,,142,,,13,,,,,,2,20,10,20,1,,2,,,4,,,1,,,,,,1,,3,,,,,342,,,,,,,,2,,,,,,1,,3,,,1,7,1,
8720.6,,,,2,,,1,,2,,21,,3,,1,,,2,,1,3,,,,4,2,1,,,,1,,,,,7,,,,4,,,,,,,,5,3,,2,,1,,1,,,,,,,,292,,,10,,,,,,,4,4,8,,,,,,1,,,3,,,,,,,,6,,,,,395,,,,,,,,,,1,,,,,,3,,1,1,3,,1
8764.7,,1,,,2,,1,,1,,35,,4,,,,,1,,,1,,,,9,1,1,,,,,,,,,5,,,,4,,,,,,,,3,10,,2,,2,1,,,,,,,,,162,1,,12,,,,,,1,4,8,6,,,,,,4,,1,1,,1,1,,,2,1,6,,,,,295,,,,,,,1,,,,,,,,,3,,,1,9,1,
8782,,1,,1,3,,4,,2,,27,,2,,1,,,,,,1,,,,13,,1,,,,1,,,,,5,,,,8,,,,,,,,7,14,,,,,,,,,,2,,,,163,,,21,,,,1,,2,1,11,17,,,1,,,1,,,3,,,,,,1,1,4,,1,,,321,,,,,,,,,,,,,,,,5,,,1,5,1,
8787.7,,,,1,2,,5,1,,,43,,,,,,,,,,,,,,14,3,3,,,,,,,,,19,,,,1,,,,,,1,,4,7,,2,,,,,,,,2,,,,134,2,,12,,,,,,,12,17,17,,,,1,,4,1,,5,,,,,,,2,1,,1,,,317,,,,,,,,,,,,,,,,6,,,,6,3,1
8796.3,,,,1,1,,4,,,,52,,1,,,,,,,,2,,,,12,1,,,,,1,,,,,7,,,,6,,,,,,1,,9,5,,,,,,,,1,,1,,,,149,1,,17,,,,,,,16,10,20,,,,,,5,,,,,,,,,1,2,4,,,,,330,,,,,,,,,,,,,,,,6,1,,1,3,2,
8802,,,,3,1,,2,,2,,36,,1,,,,,,,,1,,,,7,1,,,,,,,,,,7,,,,4,,,,,,1,,11,7,,2,,,1,,,1,,1,,,,157,2,,19,,,,,,1,3,14,8,,,2,1,,2,,,3,,,,,,1,1,3,,,,,306,,,,,,,1,,,,,,,,,7,,,1,1,3,3
8807.8,,,,5,2,,7,,,,38,,2,,,,,,,,,,,,15,1,,,,,,,,,,6,,,,2,,,,,,,1,11,5,,3,,,,,,,,1,,,,163,,,12,,,,,,5,16,6,12,,,3,,,1,,,2,,,,,,,2,4,,,,,325,,,,,,,,,,,,,,,,2,,,1,1,,
8813.5,,,,1,,,2,,1,,17,,1,,,,,1,,,,,,,5,1,1,,,,1,,,,,7,,,,2,,,,1,,,,22,3,,4,,,,,,,,1,,,,192,,,21,,,,,,,6,6,6,,,1,,1,3,1,,,,,,,,1,,2,,1,,,312,,,,,,,,,,,,1,,,1,2,,,1,2,2,
8816.4,,,,4,,1,1,,1,,15,,,,,,,,,,,,,,4,,1,,,,1,,,,,8,,,,2,,,,,,1,,14,2,,1,,,,,,1,,,,,,222,,,19,,,,,,,1,3,5,,,3,1,1,,,,,,,,,,,,5,,,,,317,,,,,,,,,,1,,,,,,4,,,5,1,,1
8842,,1,,2,1,,2,,,,16,,1,,1,,,2,,,,1,,,4,,3,,,,,,,,,7,,,,1,,,,,,1,,24,6,1,,,,,,,,,1,,,,193,,,15,,,,,,,3,9,6,,,1,,,1,2,,,,,,,,,3,3,,,,,311,,,,,,,,,,,,,,,,1,,,,2,1,1
8904.7,,,,5,2,,8,,,,32,,1,,,,,,,,,,,,15,,6,,,,,,,,,14,,,,3,,,,,,1,,10,10,1,1,,,1,,,,,1,,,,149,,,18,,,,,,,6,2,15,,,,,,4,,,1,,,,,,,,5,,,,,311,,,,,,,,,,,,,1,,,3,,1,,4,2,
8967.4,,2,,4,1,,3,,,,23,,2,,1,,,,,,2,,,,16,2,1,,,,,,,,,16,,,,3,,,,,,,,9,9,,1,,,1,,,,,1,,,,180,,,9,,,,2,,,6,1,9,,,1,,,2,,1,1,,1,,,,1,,3,,,,,314,,,,,,,1,,1,,,,1,,,5,,,,5,1,
8998.7,,,,5,,,3,,2,,29,,1,1,,1,,1,,,,,,,18,,1,,,,,,,,,8,,,,,,,2,,,,,13,1,,1,,,,,,,,,1,,,255,,,10,,,,,,,6,7,11,2,,1,1,,3,2,,,,,,1,,,2,4,,,,,393,,,,3,,,,,,,,,,1,,5,,,,,1,4
9064.6,,,,2,,,5,,1,,26,,1,,1,,,1,,,,,,,21,2,1,,,,,,,,1,8,,,,4,,,,,,,,8,3,,3,,,1,1,,,,1,1,,,150,1,,12,,,,,,1,3,6,15,,,1,1,,4,,1,3,,2,,,,1,1,7,,,,,301,,,,1,,,,,,2,,,,,,7,,,1,4,1,2
9127.2,,,,1,5,,8,,,,63,,,,,,,,,,1,,,,4,,3,,,,1,,,,,14,,,,3,,,,4,,,1,12,5,1,,,,4,,2,,,,,,,149,,,5,,,,4,,2,1,8,,1,,2,,1,,,,,,,,,,,,6,,,,,311,,,,,,,,,,,,,1,2,,3,,,,,1,1
9158.6,,,,2,2,,9,,2,,39,,2,,,,,,,,3,,,,20,2,5,,,,,,1,,,15,,,,3,,,,,,,,10,12,1,4,,1,4,,,,,2,,,,152,,,14,,,,,,,6,3,18,,,,,,1,,,,,1,,,,2,1,3,,,,,340,,,,,,1,2,,,,,,,,,5,,,3,3,1,1
9189.9,,,,1,,,4,,2,,11,,,,,,,,,,2,,,,6,,,,,,,,,,,9,,,,3,,,,,,,,8,4,,4,,,,,,,,1,,,,175,,,8,,,,,,,1,8,,,,1,,1,,,1,2,,,,,,,2,1,,,,,255,,,,,,,,,,,1,,,1,,2,,,1,4,,
9283.9,,1,,3,2,,4,,1,,44,,2,,,,,2,,,1,,,,12,5,,,,1,,,,,,12,,,,6,6,,,,,,,6,9,,1,,,1,,,,,,,,,115,2,,20,,,,,,4,6,16,10,,,1,,,1,,1,,,1,,,,1,3,9,,,,,309,,,,,,,1,,,1,,,1,,,6,,,,3,3,
9315.3,,1,,5,4,,7,,4,,49,,3,,1,,,,,,2,,,,10,7,3,,,,,,,,,15,,,,2,1,,,,,,,10,6,,1,,,1,,,,,,,,,105,,,20,,,,,,4,2,14,10,,,1,,,,,,,,,,,,,4,6,,,,,298,,,,,,1,,,,,,,,1,,11,,,1,6,4,
9378,,,,5,5,,5,,1,,50,,6,,,,,3,,,1,,,,16,8,,,,,,,,1,,14,,,,1,1,,,,,,,10,13,,2,,,2,,,,,,1,,,63,1,,19,,,,,,2,6,18,20,,,1,,2,1,,1,7,,1,,,,3,4,6,,,,,300,,,,,,,,,,,,,,,,12,,,1,8,3,3
9409.3,,,,3,5,,11,,1,,43,,2,,,,,1,,,,1,,,8,1,1,,,,1,,,,,16,,,,1,,,,,,,1,12,7,,1,,1,2,,1,,,4,,,,100,,2,9,,,,,,3,4,18,4,,,3,,,1,,3,1,,,,,,4,4,2,,,,,282,,,,,1,,,,,,,,,2,,9,,,1,7,6,
9472,,,,5,6,,5,,2,,54,,2,,,,,,,,,,,,12,3,1,,,,1,,,,,15,,1,,4,,,,,,,,3,17,,1,,,,,,,,1,,,,79,,,27,,,,,,3,2,16,14,,,4,,,2,1,3,3,,1,,,,4,1,4,,,,,297,,,,,,1,,,,,,,,,,9,,,2,10,1,1
9534.7,,,,1,,,5,,,,34,,1,,,,,,,,4,,,,16,3,7,,,,1,,,,,16,,,,3,,,,,,1,2,12,18,,4,,1,,,,,,3,1,,,103,1,,9,,,,,,2,3,19,13,1,,4,,,1,,,2,,4,,,,,4,7,,,,,306,,,,,,,,,,,,,1,,,4,,,,4,2,1
9597.4,,,,2,4,,7,,2,,38,,1,,,,,5,,,,,,,13,,,,,,,,,,,14,,,,10,,,1,,,,,19,10,,2,,5,1,,,,,1,,,,110,,,20,,,,,,,8,7,,,,1,,,4,,,,,4,,,,,3,12,,,,,304,,,,,,,,,,,,,,1,,2,1,,2,3,2,
9628.7,,,,2,3,,5,,1,,56,,,,1,,,5,,,,,,,20,1,,,,,,,2,,,9,,,,2,,,,,,,,13,2,1,,,,4,,,,,,,,,130,,,7,,,,,,,14,17,,,,1,,2,3,,2,1,,,,,,,2,4,,,,,310,,,,,,,,,,1,,,2,1,,8,,1,,,,2
9660,,,,4,1,,3,,2,,30,,2,,,,,1,,1,2,,,1,3,3,1,,,,,,,,,23,,,,1,1,,,,,,,11,10,,1,,4,1,,,,,,1,,,173,1,,10,,,,1,,,3,12,6,,,,,,1,1,1,2,,,,,,1,3,4,,,,,326,,,,,,,,,,,,,,,,5,1,,,4,3,
9691.4,,,,1,1,1,5,,,,11,,,,,,,4,,,1,,,,3,,3,,,,,1,1,,,12,,,,6,,,,1,,,,20,12,,2,,2,,,1,,,2,,,,194,,,14,,,,,,1,1,11,13,2,,1,,,,,1,1,,,1,,,,1,4,,,,,335,,,,1,,,1,,,,,,1,2,1,2,,,,,7,
9722.7,,,,3,,,7,,1,,22,,5,,,,,,,,,,,,6,4,5,,,,1,,,,,11,,,,3,,,,,,,,10,6,,2,,1,1,,,,,2,,,,161,2,,18,,,,,,2,3,9,6,,,1,,,,,1,1,,,,,,2,1,7,,,,,304,,1,,1,,,,,,1,,,,,1,4,,,1,7,3,2
9754.1,,,,3,2,1,10,,2,,32,,,,,,,6,,,,,,,9,,1,,,,,,,,,19,,,,8,,,,1,,,,14,17,,4,,,1,,,,,1,1,,,130,,,16,,,,,,,3,15,13,,,2,,,,,4,2,,1,,,,,3,8,,,,,329,,,,1,,,,,,,,,1,3,,2,,,1,,4,1
9785.4,,,,3,1,,7,,,,31,,,,,,,4,,,,,,,15,,3,,,,,,,,,10,,,,1,,1,,,,,,15,10,,,,7,1,,,,,1,,,,129,,,21,,,,,,,9,12,9,,,5,,1,2,,,,1,,,,,,1,9,,,,,309,,,,,,,,,,,,,,,,2,,,2,,6,2
9798,,,,3,7,,20,,,,66,,2,,,,,5,,,1,,,,15,,,,,1,,,,,,30,,,,15,,,,1,,,,4,9,,,,,,,,,,,1,,,71,3,,25,,,,,,5,4,10,8,,,6,1,,,,2,5,3,,,,,2,2,6,1,,,,334,,,,,,,,,,,,,,,,3,1,,,6,4,2