depth,age,abies alba,acer,achillea,aconitum,alchemilla,allium,alnus glutinosa,alnus viridis,amaranthaceae,anemone alpina,apiaceae,artemisia,aster/achillea-type,asteraceae,astrantia,bartsia,betula,botrychium,brassicaceae,bupleurum,calluna vulgaris,campanulaceae,cannabis sativa,carduus,carpinus betulus,caryophyllaceae undiff.,castanea sativa,cercophora,chaerophyllum,cichorioideae,coniferae,corylus avellana,cystopteris fragilis,dianthus,dryas octopetala,ephedra distachya,ericaceae,eryngium,euphorbia,fabaceae,fagus sylvatica,falcaria-type,filipendula ulmaria,fraxinus excelsior,genista-type,geranium,geum,gnaphalium,gypsophila,hedera helix,helianthemum,helleborus,heracleum sphondylium,homogyne alpina,hordeum,humulus lupulus,huperzia selago,hypericum,juglans regia,juniperus,juniperus,lamiaceae,larix,larix decidua,ligusticum mutellina,liliaceae,lilium martagon,melampyrum,mentha,odontites,onobrychis,papaver,peucedanum,picea,picea abies,pinus,pinus cembra,pinus sylvestris,plantago alpina,plantago lanceolata,plantago major,plantago media,plantago montana,poaceae,poaceae (cerealia),podospora,polypodium,populus,potentilla,poterium sanguisorba,primula,prunus,pteridium,quercus,ranunculus aconitifolius,ranunculus acris,rhamnus,rhinanthus,rhododendron,ribes alpinum,rosaceae,rubiaceae,rubus,rumex acetosa,rumex alpinus,salix,saxifraga granulata,saxifraga oppositifolia,scabiosa columbaria,scrophularia-type,secale,sedum-type,selaginella selaginoides,senecio,silene vulgaris,sorbus,sporormiella,teucrium-type,thalictrum,tilia,trifolium,trifolium repens,triticum,trollius europaeus,ulmus,urtica dioica,ustulina,vaccinium-type,veratrum album,veronica,viscum album,vitis vinifera,xanthium
377,5865,140,2,,,,,24,,,,,1,,,,,4,,1,,,,1,,,,,,,1,,26,,,,,,,,,3,,1,,,,,1,,,,,,,,,,,,6,,,,4,,,,,,,,,1,,8,,130,5,,,,,,16,,,,,,,,,6,9,,,,3,,,,,,1,,1,,,,,,,1,,,,2,,,2,,,,,26,2,1,,,,,,
378,5897,130,6,,,,,29,1,,,1,1,,,,,5,,1,,,,,,,,,,,,,17,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,3,,137,6,,,,,,19,,,,,,,,,2,1,,,,3,,,,,,1,,2,,1,,,,,2,,,1,3,,,1,,,,,28,4,,,,,,,
379,5929,117,4,,,,,37,,,,1,2,,,,,3,1,,,,,,,,,,,1,,,35,,,,,,,,,2,1,,,,,,,,,,,,,1,,,,,2,,,,2,,,,,,,,,1,,3,1,109,15,,,,,,30,,,,,,,,,1,10,,,,1,,,1,,,,,1,,,,,,,1,,,1,2,,1,1,,,,,22,,,,,,,,
380,5962,142,3,,,,,27,,,,1,2,2,,,,5,,,,,1,,,,,,,,2,,24,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,120,5,,1,,,,16,,2,1,,,,,,2,6,,,,1,,,1,,,4,,1,,1,,,,,1,,,,3,,,,,,,,27,1,2,,,,,,
381,5994,105,6,,,,,29,,,1,,2,,,,,4,,,,,,,,,,,,1,1,,29,,,,,,,,,2,1,,8,,,,,,,,,,,,,,,,2,,,,4,1,,,,,1,,,,,1,,118,10,,,,,1,28,,,,,,,,,1,6,,1,,1,,,2,,,1,,1,,,,,,,,,,,3,,1,3,,,,,26,3,2,,,1,,1,
382,6026,133,,,,,,23,,,,,3,,,,,1,,1,,,,,,,,,,,3,,24,,,,,,,,,4,1,,7,,,,1,,,,,,,,,,,,2,,,,6,,,,,,,,,,,2,3,115,10,,1,,,,31,,,,,,,,,1,7,,1,,2,,,1,1,,,,2,,,,,,,,,,,1,,,2,,,,,36,3,2,,,,,,
383,6059,114,3,,,,,18,,,,1,,,,1,,4,1,,,,,,,,,,,,,,43,,,,,,,,,1,,1,10,,,,,,,,,,,,,,,,1,,,,4,1,,,,,,,,,,1,,101,4,,,,,,35,,,,,,,,,2,6,,,,1,,,,,,,1,1,1,1,,,,,,,,1,,,,7,,,,,31,5,,,,,,,
384,6091,93,2,,2,,,17,,,,1,2,,,,,13,,,,,,,,,,,,1,1,,40,,,,,,,,,1,,1,10,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,102,25,,,,,,40,,1,,,,,,,3,6,,,,,,,3,,,,,,1,,,,,,1,,2,1,1,,,3,,,,,35,,2,,,,,,
385,6123,108,3,,,,,24,,,,1,,,,,,3,,1,,,,,,,,,,,,,34,,,,,,,,,3,,1,13,,,,1,,,,,,,,,,,,7,,1,,2,,,,,,,,,,,2,2,119,5,,,,,,27,,,,,,,,,2,11,,,,,,,2,,,1,,1,,1,,,,,,,2,1,2,,,,,,,,34,2,3,,,,,,
386,6150,128,2,,,,,24,1,1,,,2,1,,,,1,,1,,,,1,,,,,,,,,37,,,,,,,,1,4,2,,12,,,,,,,1,,,,,,,,,3,,,2,3,1,,,,,,,,1,,,,113,5,,,,,,22,,,,,,,,,1,9,1,,,,,,2,,,,,1,,,,,,,,,,,2,,,2,,,,,34,2,1,,,,,,
387,6176,111,4,,,,,25,,,,,,,,,,3,,,,,,,,,,,,,,,33,,,,,,,,,4,,,6,,,,,,,1,,,,,,,,,4,,,,,1,,,,,,,,,,,1,106,15,,,,,,21,,,,,,,,,1,11,,,,2,,,,1,,2,,1,,2,,,,,1,,,1,3,,,2,,,,,42,2,,,,1,,,
388,6202,97,5,,,,,20,,,,,1,,,,,5,,,,,,,,,,,1,,1,,30,,,,,,,,,1,,,9,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,143,6,,,,,,20,,1,,,,,,,3,4,,2,,,,,,,,2,,1,,,,,,,1,,,,3,,,,,,,,46,4,1,,,,,,
389,6228,120,1,,,,,16,,,,,1,,,,,,,1,,,,,,,,,,1,1,,34,,,,,,,,,4,,,9,,,,,,,,,,,,,,,,4,,,3,4,2,,,,,,,,,,2,1,111,10,,,,,,20,,,,,,,,,,2,,2,,,,,1,1,,2,,2,,,1,,,,,,,,5,,,4,,,,,38,4,,,,1,,,
390,6253,103,2,,,,,25,,,,,2,,,,,2,,,,,,1,,,,,,1,,,27,,,,,,,,,,,,8,,,,1,,,,,,,,,,,,4,,,,6,,,,,,,,,,,1,2,119,10,,,,,,36,,,,,,,,,2,8,,1,,,,,,,,1,,1,1,,,,,,,,1,,1,,,,,,,,39,3,3,,,1,,,
391,6279,138,1,,,,,25,,,1,,2,,,,,4,,,,,,,,,,,1,,,,39,,,,,,,,,4,,,6,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,4,116,5,,,,,,28,,,,,,,,,1,9,,,,,,,2,,,1,1,,,,,1,,,,,,,1,,,4,,,,,30,,3,,,,,,
392,6305,148,7,,1,,,14,,1,,,6,,,,,6,1,,,,,,,,,,,,1,,35,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,1,,,3,100,9,,,,,,22,,1,,,,,,,,8,,,,,,,,,,,,1,,2,,,,,,,,,3,,,1,,,,,23,1,4,,,,,,
393,6330,129,3,,,,,17,,,,,4,,,,,3,,,,,,,,,,,,,,,24,,,,,3,,,,8,,1,15,,,,,,,,,1,,,,,,,3,,,,2,,,,,,,,,1,,1,1,89,8,,,,,,33,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,3,,,1,2,,1,6,,,,,48,2,4,,,,,,
394,6356,131,4,,,,1,27,,,,,4,,,,,3,,,,,2,,,,,,,1,1,,28,,,,,,,,,5,,,5,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,1,,,,94,4,,,,,,27,,1,,,,,,,4,7,,1,,,,1,,,,1,,2,,,,,,,1,,,1,2,,,1,,,,,45,3,,,,,,,
395,6382,152,2,,,,,23,,,,,5,,,,,2,,1,,,,,,,,,,,,,42,,,,,,,,,4,,,4,,,,1,,,,,,,,,,,,,,,2,4,,,,,,,,,1,,1,,91,4,,,,,,22,,,,,1,,,,,4,,,,1,,,,,,,,2,,,,,,,,,,1,3,,,4,,,,,38,1,,,,1,,,
396,6408,114,7,,,,,18,1,1,,,2,,,,,3,,,,,,,,,,,,,2,,38,,,,,,,,,3,,1,12,,,,,,,,,1,,,,,,,2,,,,5,,,,,,1,,1,,,,1,115,5,,,,,,19,,,,,,,,,1,7,,,,,,,1,,,1,1,1,1,1,,,,,,,,1,3,,2,2,,,,,43,2,,,,,,,
397,6433,141,4,,,,,15,1,,,1,1,,,,,8,,1,,,,,,,,,,,1,,32,,,,,,,,1,5,,,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,90,23,,,,,,22,,,,,,,,,7,5,,,,,,,,,,4,,1,,,,,,,,,1,,1,,,3,,,,,36,2,1,,,,,,
398,6459,113,2,,,,,20,,,1,,,,,,,1,,,,,,,,,,,,,1,,41,,,,,,,,,6,,,16,,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,108,9,,,,,,17,,,,,,,,,,9,,,,,,,1,,,1,,1,,1,,,,,1,,,1,1,,,1,,,,,39,4,1,,,1,,,
399,6485,126,1,,,,,20,,,1,,1,,,,,4,,,,,,,,,,,,,1,,33,,,,,,,,1,11,,1,4,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,1,,,,94,8,,,,,,32,,,,,,,,,1,8,,,,,,,,,,4,,,,1,,,,,1,,,,2,,,4,,,,,32,6,,,,,,,
400,6511,120,,,1,,1,31,,,,,2,,,,,4,,,1,,,,,,,,3,,1,,50,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,110,10,,,,,,22,,1,1,1,,,,,,6,,,,,,,,,,,,1,,,,,,,2,,,1,1,,,3,,,,,57,,,,,,,,
401,6536,116,4,,,,,25,,,,,,1,,,,8,,,,,,,,,,,,1,1,,40,,,,,,,,,,,2,8,,,,,,,1,,,,,1,,,,1,,1,5,2,,,,,,,,,1,,,1,99,14,,,,,,17,,,,,,,,,,7,,1,,,,,,1,,1,,,,1,1,,,,,,,,4,,,9,,,,,57,1,,,,,,,
402,6562,129,5,,,,,18,,,,,1,,,,,2,,1,,,,,,,,,,1,2,,49,,,,,,,,,3,,,14,,,,,,,,,,,,,,,,5,,,1,5,,,,,,,,,1,,,2,86,4,,,,,,25,,,,,,,,,1,5,,,,,,,1,,,,,2,,,,,,,,,,,1,,1,,,,,,39,,,,,1,,,
403,6588,101,3,,,,1,23,,,1,,,,,,,12,,,,1,,,,,,,,1,,,51,,,,,1,,,,6,,,7,,,,,,,,,,,,,,,,2,,,3,1,,,,,1,,,,3,,,,85,4,,,,,,21,,,,,,,,,2,4,2,2,,,,,,,,,,,,,,,,,,,,,1,,,5,,,,1,64,,,,1,,,,
404,6613,131,4,1,,,2,24,1,,1,1,3,,,,,6,,,,,,,,,,,1,3,1,,31,,,,,,,,,9,,,10,,,,,,,,,2,,,,,1,,4,1,,1,2,,,,,,,,,2,,,,66,6,,,,,,40,,,,,,,,,5,4,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,51,,1,,,,,,
405,6639,133,1,,,,,18,,,,1,,,,,,12,,1,,,,,2,,,,1,1,1,,29,,,,,,,,,3,,,7,,,,1,,,,,,,,,,,,1,,,3,4,,,,,,,,,1,,1,,82,3,,,,,,38,,,,,,,,,,6,1,2,,,,,1,,,3,,,,,,,,1,,,,,,,,6,,,,,48,,4,,,,,,
406,6665,107,3,,,,,17,,,,,3,,,,,6,,,,,,1,,,,,,,,,28,,,,,,,,,4,,,12,,,,,,,,,,,,,,,,7,,,1,3,,,,,,1,,,2,,,,97,4,,,,,,22,,,,,,,,,,10,,,,,,,,,,1,1,,,,,,,,3,,1,2,2,,,1,,,,,70,,,,,,,,
407,6691,110,2,,,,1,22,,,,,3,,,,,6,,,,,,,,,,,,1,2,,27,,,,,,,,,5,,,17,,,,,,,,,1,,,,,,,3,,1,,3,,,,,,,,,2,,,,82,11,,,,,,37,,,,,,,,,1,8,,,,1,,,,,,,,2,,1,,,,1,,,,,4,,,4,,,,,53,,,1,1,,,,
408,6716,138,2,1,,,,16,,,,,2,,,,1,8,,,,,,,,,,,,2,2,,50,,,,,,,,,2,,,24,,,,,,,,,,,,,,,,3,,,,2,,,,,,1,,,1,,,,71,14,,,,,,21,,,,,,,,,,11,,1,,,,,,,,,,2,,,,,,,,1,,,,,,3,,,,,31,,1,,,,,,
409,6742,88,3,,,,1,23,1,,,,3,,,,,13,,,,,,,,,,,,1,1,,36,,,,,,,,,8,,,7,,,,,,,,,2,,,1,,,,7,,1,3,2,,,,,,,,,1,,2,,86,8,,,,,,37,,,,,,,,,2,7,,,,,,,1,,,1,,,,1,,,,,,,,2,1,,,6,,,,,61,,1,,,,,,
410,6768,91,1,,,,,18,,,,,3,,,,,7,,1,,,,,,,,,,1,1,,58,,,,,,1,,,5,1,1,8,,,,,,,,,,,,,,1,,3,,,4,3,,,,,1,,,,1,,,,67,9,,,,,,33,,,,,,,,,,10,,,,,,,,,,,,,1,,,,,,,,,1,1,,,6,,,,,72,,,1,,,,,
411,6793,75,4,1,,,,27,,,,,4,,,,1,9,,,,,,,,,,,,3,,,51,,,,,,,,,6,1,,20,,,,,,,,,,,,,,,,3,,,,4,,,,,,,,,1,,1,,92,,,1,,,,34,,,,,,,,,4,7,,,,,,,1,1,,1,,,,,,,,1,,,,1,1,,1,3,,,,1,69,,,,,,,,
412,6819,100,3,1,,,1,15,,1,1,1,5,,,,1,4,1,,,,,,,,,,,1,,,36,1,,,,,,,,4,,,16,,,,,,1,,,1,,,,,,,3,,,3,,2,,,,,1,,,,,1,,66,9,,,1,,,46,,,1,,,,,,7,10,,1,,,,,1,,,2,,1,,,,,,2,,,,,,,,4,,,,,70,3,,,,1,,,
413,6845,78,4,,,,,26,,,,1,1,,,,,9,,1,,,,,,,,,,,1,,62,,,,,,,,,5,,1,10,,,,1,,,,,2,,,,,,,2,,,1,3,,,,,,,,,,,,,86,12,,,,,,26,,,,,,,,,,6,,,,,,,,1,,1,,,,,,,,,,,,,2,,1,5,,,,,62,2,1,,,,1,,
414,6871,109,6,,,,,18,,,,,,,,,,3,,1,1,,,,,,,,,2,,,33,,,,,,,,,1,,,15,,,,,,,,,1,,,,,,,5,,,3,2,,,,,,,,,1,,,,88,4,,,,,,22,,,,,,,,,,7,,,,,,,1,,,1,,1,1,,,,,,1,,,1,1,,1,4,,,,,73,3,1,,,,,,
415,6896,90,2,,,,,16,,,1,1,2,,,,,5,,1,,1,,,,,,,,2,,,39,,,,,,,,,,,1,4,,,,,,,,,,,,1,,,,4,,,3,7,,,,,,,,,,,,,80,11,,,,,,22,,,,,,,,,1,6,,,,1,,,1,,,1,2,,,,,,,,,,,1,8,,,5,,,,,92,,,,,,,1,
416,6922,77,2,,,,,21,,2,,2,1,,,,,6,,,,,,,,,,,,,2,,35,,1,,,,,,,3,,,19,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,112,15,,,,,,25,,,,1,,,,,,10,,,,,,,1,,,,,,,1,,,,,2,,,1,,,,5,,,,,80,,,,,,,,
424,7128,65,3,,,,,20,,,,,3,,,,,7,,1,,,,,,,,,,,1,,47,,,,,,,,,,,,41,,,,,,,,,,,,,,,,11,,3,,1,,,,,,,,,1,,,,42,13,,,,,,25,,,,,,,,,,27,1,,,,,,,,,1,,5,,1,,,,,1,,,,,,2,2,,,,,58,,4,,,,,,
432,7336,50,2,,,,,18,,,,,,,,,,5,,,,,,,,,,,1,,1,,52,,,,,,,,,1,,,24,,,,,,,,,,,,,,,,4,,,1,3,,,,,,,,,,,,,100,32,,,,,,15,,,,,,,,,,7,,1,,1,,,,,,,,,,1,,,,,,,,1,,,1,6,,,,,77,,2,,,,,,
440,7545,77,6,,,,,14,,,,,,,,,,6,,,,,,,,,,,,1,1,,50,,,,,,,,,,,,47,,,,,,,,,1,,,,,,,4,,,,9,,,,,,,,,,,,,74,14,,,,,,18,,,,,,,,,,22,,,,,1,,,1,,,,1,,,,,,,,,1,2,,,,3,,,,,49,,2,,,,,,
448,7754,27,3,,,,,19,,,,,4,,,,,4,,,,,,,,,,,,2,1,,81,,,,,,,,,,,,21,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,1,2,,,,86,21,,,,,,25,,,,,,,,,,12,,,,1,,,,1,,,,,,,,,,,,,,1,1,,,8,,,,,92,,,,,,,,
456,7962,5,2,,,,,12,,,,,2,,,,,23,,1,,,,,1,,,,,2,1,,52,,,,,,1,,,,,,33,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,2,,,,76,24,,,,,,20,,,,,,,,,,22,,2,,,,,,,,,,3,,,,,,,,,,,,,1,14,,,,,91,,2,,,,,,
464,8186,3,,,,,,17,,,,,2,,,,,13,,,,,,,,,,,,2,1,,86,,,,,,,,,,,,24,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,4,,,,69,32,,,,,,25,,,,,,,,,2,17,1,,,,,,1,,,,1,1,,,,,,,,,,,1,,2,16,,,,,90,,,,,,,,
472,8410,3,5,,2,,,9,,1,,,,,,,,1,,,,,,,,,,,,1,2,,83,,,,,,,,,,,,13,,,,,,,,,1,,,,,,,9,,,,2,,,,,,,,,1,,,1,92,44,,,,,,9,,,,,,,,,,19,,,,,1,,,,,,,3,1,,,,,,1,,,,,,,11,,,,,71,,2,,,,,,
480,8634,2,5,,1,,,15,,,,,1,,,,,13,,,,,,,,,,,,,1,,144,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,2,,,,3,,,,,,,,,1,,,,66,26,,,,,,9,,,,,,,,,,16,,1,,,,,,,,,,1,,,,,,,,,,,,,,6,,,,,75,,,,,,,,
488,8857,1,3,,,,,13,,,,,3,,,,,6,,1,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,5,,,1,,,,,,1,,,,67,32,,,,,,12,,,,,,,,,,17,,,,,,,,,,,,1,1,,,,,,,,,,,,1,16,,,,,79,,1,,,,,,
496,9025,,2,,,,,16,,,,,5,,,,,8,,,,,,,,,,,,,2,,120,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,1,,,,,,,,,,,,,81,32,,,,,,12,,,,,,,,,,8,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,97,,1,,,,,,
504,9193,,1,,,,,10,,1,,,3,,,,,14,,,,,,,,,,,,3,,,144,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,1,,5,,,,,,,,,1,,,,46,42,,,,,,17,,,,,,,,,,15,,,,,,,,,,1,,1,,1,,,,,,,,,,,,19,,,,,85,,,,,,,,
512,9361,,1,,,,,10,,,,,1,,,,,15,,,,,,,,,,,,1,1,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,53,21,,,,,,15,,,,,,,,,,10,,,,,,,,,,,,,,,1,,,,,,,1,,,1,21,,,,,64,,,,,,,,1
520,9529,,2,,,,,10,,,,,4,,,,,16,,,,,,,,,,,,,,,129,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,81,38,,,,,,25,,,,,,,,,,12,,,,,,,1,,,,,,,,,,,,1,,,1,,,2,12,,,,,69,,,,,,,,
528,9697,,,,,,,6,,,,,1,,,,,13,,,,,,,,,,,,1,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,84,27,,,,,,9,,,,,,,,,,7,,1,,,,,,,,,,,,,,,,,,,,3,2,,1,22,,,,,61,,,,1,,,,
536,9788,,,,,,,13,,,,,3,,,,,26,,,,,,,,,,,,1,,,129,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,59,54,,3,,,,13,,,,,,,,,,7,,,,,,,,,1,,,,,,,,,,,,,,1,,2,9,,,,1,71,,1,,,,,,
544,9880,,,,,,,5,,,,,1,,,,,9,,,,,,,,,,,,,,,160,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,102,57,,,,,,14,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,1,,,,2,,2,8,,,,,61,,,,,,,,
552,9972,,,,,,,6,,1,,,2,,,,,8,,,,,,,,,,,,1,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,51,56,,,,,,11,,,,,,,,,,13,,2,,,,,,,,,,1,2,,,,,,,,,2,,,2,17,,,,,42,,2,,,,,,
560,10063,1,,,,,,4,,,,,2,,,,,10,1,,,,,,,,,,,1,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,91,72,,,,,,11,,,,,,,,,1,8,,,,,,,,,,1,,,,,,,,,,,,,1,,1,2,,,,,61,,,,,,,,
568,10155,,,,,,,4,,,,,1,,,,,10,,,,,,,,,,,,,,,109,,,1,,,,,,,,1,1,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,115,64,,,,,,13,,,,,,,,,,8,,,,,,,,,,,,3,,1,,,,,,,,,,,2,4,,,,,52,,,,,,,,
576,10215,,,,,,,6,,,,,4,,,,,15,,,,,,,,,,,,1,,,111,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,1,,,,83,90,,,,,,12,,,1,,,,,,,6,,,,1,,,,2,,,,,1,,,,,,,,,,1,,,5,,,,,66,,,,,,,,
584,10254,,,,,,,9,,,,1,7,,,,,22,,,,,,,1,,,,,2,,,115,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,2,,,,63,113,,,,,,10,,,,,,,,,,3,,,,,,,,,,1,,1,1,1,,,,,,,,1,,,1,8,,,,,55,1,1,,,,,,
592,10294,,,,,,,8,,,,,,,,,,35,,,,,1,,,,,,,3,,,86,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,90,135,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,4,,,,,59,1,,,,,,,
600,10333,,,,,,,1,,1,,,4,,,,,6,,,,,,,,,,,,,1,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,114,123,,,,,,5,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,31,,,,,,,,
608,10373,,,,,,,1,,,,,1,,,,,37,,,,,,,,,,,1,,,,8,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,244,138,,,,,,7,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,9,1,,,,,,,
616,10412,,,,,,,2,,,,,,,,,,13,,,,,,,,,,,,2,,,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,131,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,7,,,,,,,,
624,10452,,,,,,,4,,1,,,1,,,,,46,,,,,,,,,,,,,,,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,188,148,,,,,,19,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,11,,1,,,1,,,
632,10491,,,,,,,1,,,,1,2,,,,,37,,,,,,,,,,,,1,1,,9,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,141,153,,,,,,15,,,,,,,,,,1,,,,,,,,2,,1,,2,,,,,,1,,,,,,,,,,,,,19,6,,,,,,,
640,10531,,1,,,,,,,,,,6,,,,,34,,,,,,,,,,,,1,,,4,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,175,162,1,,,,,13,,,,,,,,,,2,,,,1,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,12,,,,,,,,
648,10570,,,,,,,2,,,,1,4,1,1,,,32,,,,,,,,,,,,1,,,12,,,,,,,,1,,,2,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,168,156,,,,,,21,,,,,,,,,,2,,,,,,,,1,2,1,,,,1,,,,,,,,,,,,,,1,,,9,1,,,,,,,
656,10610,,,,,,,3,,,,,4,,,,,48,,,,,,,,,,,,1,1,,21,,,,,,,,,,,4,1,,,,,1,,,,,,,,,,,2,,1,,,,,,,,,,,1,,,,116,175,,,,,,21,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,29,5,,,,,,,
664,10649,,,,,,,,,,,,7,,,,,37,,,,,,,,,,,,,1,,10,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,3,,,,162,127,,,,,,18,,,,,,,,,,3,,,,,,,,,,,1,2,,1,,,,,,1,,,,,,,,,,,5,4,,,,,,,
672,10689,,,,,1,,1,,,,,11,1,,,,37,,,,,,,,,,,,,,,3,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,199,112,,,,,,23,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,9,,,,,,,,
680,10728,,,,,,,2,,2,,,4,,,,,43,,,,,,,,,,,,1,1,,2,,,,,,,,,,,3,,,,,,,,,,,1,,,,1,,12,,,,,,,,,,,,,1,,,,153,166,,,,,,22,,,,,,,,,,,,,,,,,1,3,,2,1,1,2,,,1,,,,,,,,,1,,,,,,4,2,,,,,,,
696,10807,,,,,,,6,,1,,1,4,,,,,23,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,1,,,,,,4,,,,155,167,,,,,,20,,,,,1,,,,,,,,,1,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
712,10886,,,,,,,2,,,,,2,,,,,41,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,1,,,,201,95,1,,,,,26,,,,,,,,,,,,,,,,,,2,,2,1,2,,,,,,1,,,,,,,2,,,,,,,8,,,,,,,
728,10965,,,,,,,,,,,1,14,,,,,33,,,,,,,,,,,,1,,,2,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,15,,,,,,,,,,,,,1,,,,139,151,,,,,,34,,,,,,,,,,,,,,,,,,2,,1,,,1,,,,,2,,,,,,,,,,,,,,6,,,,,,,
744,11044,,,,,,,2,,,,,7,,,,1,23,,,,,,,,,,,,2,,,4,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,12,,,,,,,,,,,,,1,,,,193,152,,,,,,25,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,
760,11123,,,,,,,,,,,,5,,,,,18,,,,,,,,,,,,1,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,166,212,,,,,,17,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,2,,,,,,,
776,11203,,,,,,,,,1,,,,,,,,14,,,,,,,,,,,,,2,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,224,,,,,,12,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
784,11242,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,73,156,,,,,,14,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
