depth,age,abies,acer,alnus,amaranthaceae,apiaceae,artemisia,asphodelus,asteroideae,betula,boraginaceae,brassicaceae,buxus,campanula,carpinus,caryophyllaceae,castanea,cichorioideae,cistaceae,cistus,corylus,crassulaceae,ephedra distachya,ephedra fragilis,ericaceae,fabaceae,fagus,fraxinus,galium,genista,gentiana,geraniaceae,glomus,helianthemum,iridaceae,juglans,juncus,juniperus,lamiaceae,liliaceae,linum,lotus-type,olea,oleaceae,phillyrea,pinus,pistacia,plantago,poaceae,polygonaceae,populus,potamogeton,primulaceae,prunus-type,quercus (deciduous),quercus (evergreen),ranunculaceae,ranunculus,rhamnus,rosaceae,rubiaceae,rumex,salix,saxifraga,scrophulariaceae,sedum,sorbus,sordariales,tamarix,thalictrum,tilia,trifolium-type,ulmus,urtica
2.7,-31,10,,,34,2,5,,,2,,,2,,,,,,,,8,,2,,2,28,,,,,,,,,,,,,,,,,25,1,,185,,1,1,,,,,,6,11,2,,1,,,,2,,,,,,,4,,,,
12.7,74,7,,1,18,,25,,,2,,,1,,,,,12,,,18,,,1,5,19,1,,,,,,,,2,2,,4,3,,,,25,1,,127,,3,15,,,,,,3,3,1,,1,,,1,2,,,,,,,1,,,,
22.7,192,6,,4,18,,38,,,3,,,,,,,,3,,,15,,,6,10,18,,,,,1,,,,,,,5,4,,,,21,3,,106,,1,12,2,,,,,7,11,1,,,,,1,3,,2,,,,,1,2,,,
32.7,311,5,,2,17,,36,,,4,,,2,,,,,4,,,11,,,,6,12,3,,,,,,,,,2,,5,2,,,,20,3,,142,,,27,,,,,,1,9,,,,,,,1,,,,,,,5,1,,,
44.7,452,,1,11,18,1,36,,5,2,,2,,,,,1,2,,,16,,,,6,4,,,,,,,,,,1,,19,6,,,,,,,151,,,9,,,,,,5,2,1,,,2,,,1,,,,,1,1,5,2,,,
56.4,696,24,,21,8,1,38,,1,2,,1,,,1,,,1,,,15,,,1,7,6,,,1,,,,,,,,,11,3,,,,,,,166,,1,13,,,,,,,,1,,,8,,,,,5,1,,,,5,,,,
62.3,798,23,,3,12,,45,,,5,,,,,,,,3,,,17,,,4,8,15,1,,,,1,,,,,,,4,4,,,,2,1,,121,,,21,,,1,,,4,8,,,,,,2,,,,,,,,4,1,,,
72.8,979,22,,1,8,1,51,,3,1,,,,,,,,4,,,3,,,3,6,9,1,,,,,,,,,,,3,3,,,,6,,,156,,2,11,,,,,,2,11,,,,,,,,,2,,,,,9,,,,
84.5,1181,23,,7,9,,53,,1,6,,,,,,,,6,,,16,,,,21,18,2,,,,,,,,,,,1,2,,,,2,,,150,,2,7,,,,,,1,4,2,,,,,,,,,,,,1,7,1,,,
91.5,1301,14,,17,7,,12,,2,5,,1,,,,,,2,,,10,,,,1,5,,,1,,,,,,,,,24,2,,,,,,,202,,,8,,,,,,2,,1,,1,2,,,,,2,,,6,,1,1,,,
99.7,1415,26,,6,13,,17,,,3,,,,,,,,,,,13,,,2,10,9,,,,,,,,,,,,3,6,,,,3,,,159,,1,11,,,,,,2,4,3,,,,,,,,,,,,,4,,,,
103.2,1463,19,,19,10,,38,,6,2,,1,,,,,,4,,,38,,,1,8,12,3,1,,,,,,,,1,,5,3,,,1,1,,,238,,,7,,,,,,6,4,,,,1,,,,,9,,,7,1,6,1,2,,
112.5,1592,20,,6,6,,27,,,3,,,,,,,,2,,,20,,,7,7,10,2,,,,,,,,,,,4,2,,,,3,1,,150,,2,10,,,1,,,8,11,,,,,,,3,,,,,,,6,1,,,
114.9,1624,14,,6,5,,25,,4,4,,1,,,,3,,8,,,30,,1,3,12,6,1,3,,,,,,,,,3,2,6,,,,,,,207,,1,9,,,,,,9,2,,,,,,,,,5,,,5,,8,2,1,,
123,1737,31,,7,10,,32,,,6,,,,,,,,3,,,20,,,1,7,15,,,,,,,,,,,,1,10,,,,8,,,155,,5,7,,,,,,2,14,,,,,,2,1,,,,,,,4,,,,
126.5,1785,15,,14,14,,35,,2,4,,,,,,2,,2,,,25,,,2,6,18,3,3,,,,,,,,,,5,3,,,,,,,223,,1,2,,,,,,2,3,,,,,,,,,4,,,9,,10,1,,,2
134.7,1897,36,,8,11,2,40,,,6,,,,,,,,1,,,22,,,1,10,11,3,,,,,,,,,,,1,8,,1,,3,,,170,,2,5,,,,,,3,15,,,,,,2,1,,,,,,,3,3,,,
138.2,1946,16,,12,20,,52,,9,2,,,,,,5,,9,,,46,,3,1,13,12,1,,,,,,,,,3,,9,7,,1,,1,,,135,,1,6,,,,,,2,4,,,,,,,,,7,,,4,,2,2,4,,1
146.4,2055,38,,8,12,1,29,,,2,,,,,,,,,,,21,,,,9,12,2,,,,,,,,,,,1,9,,1,,,,,151,,5,5,,,,,,5,18,,,,,,,,,3,,,,,5,1,,,
149.9,2107,29,,8,7,,36,,1,3,,3,,,,2,,2,,,49,,,1,6,16,1,1,,,,,2,,,5,,6,4,,,,,,,174,,2,6,,,,,,7,4,1,,,1,,,,,3,,,4,1,5,1,,2,2
158.1,2220,51,,6,13,1,30,,,4,,,,,,,,2,,,16,,,3,4,16,,,,,,,,,,,,2,5,,,,2,1,,156,,1,4,,,,,,5,8,,,,,,2,,,1,,,,,2,,,,
161.6,2268,17,,5,8,,29,,3,3,,1,,,,1,,3,,,21,,,1,5,18,,,,,,,,,,1,,6,3,,,,2,,,225,,3,5,,,,,,2,2,,,1,,,,,,2,,,,,7,,,,
173.3,2429,19,,7,18,,29,,2,1,,,,,,2,,3,,,41,,1,2,6,17,1,,,,,,,,1,4,,4,2,,,,2,,,182,,4,6,,,,,,2,7,,,,,,1,,,1,,,,1,2,,,1,1
185,2590,22,,4,10,,29,,1,2,,1,,,,,,2,,,34,,,2,5,19,1,,,,,1,,,,2,1,,5,,,,,,,200,,,4,,,,,,1,4,,,,,,,,,2,,,,,6,1,1,,
190.8,2671,22,,11,10,1,23,,7,1,,2,,,,,2,7,,,34,,,2,2,13,4,2,,,,,,,,1,2,13,15,,,4,,,1,170,,,9,,,,,,4,3,2,,,,,,,,2,,,2,,7,3,,2,1
202.5,2810,28,,8,10,,12,,,3,,1,,,,1,,4,,,33,,,1,5,14,2,,,,,,,,,,,1,8,,,,,1,,203,,3,4,,,,,,,4,,,,,,1,,,1,,,,,4,3,,,
214.2,2949,21,,3,10,,22,,8,1,,2,,,,1,,1,1,,41,,,1,4,20,2,,,,,,,,,1,,,10,,,,,,,191,,,4,,,,,,1,5,,,,,,,2,,5,,,,,4,1,,,
220,2987,59,,1,5,,7,,1,,,1,,,,1,,1,,,31,,,2,3,12,,,,,1,,,,,2,,,4,,,,,,,196,,1,1,,,,,,,2,,,,,,,,,,,,,,1,3,,,
226.4,3069,38,,7,12,,19,,,3,,,,,,,,,,,36,,,3,7,13,,,,,,,,,,,3,1,4,,,,,,,160,,,3,,,1,,,6,14,,,,,,,,,,,,,,5,2,,,
232.8,3137,34,,7,15,,11,,4,,,,,,,1,,1,,,72,,,1,3,31,,,,,,1,,,,5,,,3,,,,,,,147,,,1,,,,,,,3,,,,,,,1,,,,,,,1,2,,,
246.7,3288,33,,5,17,,10,,3,,,2,,,,2,,1,,,43,,,1,3,24,,,,,,,,,,2,,,6,,,,,,,185,,1,4,,,,,,2,2,,,,,,,1,,,,,,,1,2,,,
259.5,3426,37,,5,11,,11,,1,1,,1,,,,2,,3,,,53,,,1,1,18,,,,,,,,,,3,,1,8,,,,,,,145,,,2,,,,,,2,11,,,,,,,1,,1,,,,,1,3,,,
272.2,3562,34,,9,7,,,,2,3,,,,,,1,,3,,,26,,,,6,12,1,,,,,,,,,1,,,13,,,,,,,206,,3,1,,,,,,3,2,,,,,,,,,1,,,,,2,3,,,
284.9,3700,60,,3,7,,,,4,,,,,,,,,,,,32,,,1,,15,,,,,,,,,,,,1,8,,,,,,,186,,,3,,,,,,1,1,,,,,,,,,,,,,1,2,4,,,
297.6,3962,43,,15,8,,4,,1,2,,2,,,,,,2,,,40,,,,2,14,,,,,,,,,,,,1,5,,,,,1,,185,,,1,,,,,,4,6,,,,,,,1,,,,,1,,3,4,,,
310.3,4239,52,,8,3,,8,,,1,,,,,,1,,3,,,38,,,2,3,13,1,,,,,,,,,2,1,1,3,,,,1,1,,196,,,2,,,,,,6,4,,,1,,,,2,,,,,,,3,3,,,
329.4,4642,27,,3,4,,3,,1,,,,,,,,,2,,,18,,,,5,3,,,,,,,,,,,,3,8,,,,,,,273,,,,,,,,,2,3,1,,3,6,,1,,2,,,,,,1,7,,,
340.8,4858,43,,17,4,,3,,2,4,,,,,2,,,1,,,32,,,1,1,2,,,,,,,,,,,,2,17,,,,,,,163,,1,11,,,,,,1,1,1,,,7,,,,,4,,,,,1,3,,2,
348.4,5002,43,,12,5,,11,1,1,7,,,1,,,,,1,,,25,,,1,,4,,,,,,,,,1,1,,12,,,,,,,,202,,,17,,,,,,2,2,1,,,12,,,1,,3,,,2,,1,,,4,
354.8,5123,29,,6,3,,12,,,2,,,,,8,,,,,,47,,,,2,7,,1,,,,,,,,1,1,2,19,,,,,,,265,,,5,,,,,,3,,,,2,3,,1,,1,,,,,,,6,,3,
361.2,5244,41,,11,3,,5,,,3,1,,,,,,,5,,,11,,,,,3,,,1,,,,,,,,,13,2,1,,,,,,211,,1,11,,,,,,,2,,,,10,,,,,1,,,,,,2,,1,
367.5,5364,15,,23,9,2,13,,2,8,1,1,,,8,,,3,,,69,,,1,3,,,3,,,,1,,,1,1,,4,11,,1,2,,,,139,,,13,,,,,,10,4,,,,4,,,,,7,,,2,,2,6,,5,
373.9,5484,25,,14,2,,6,,,1,,,,1,,,,2,,,26,,,2,,8,,,,,,,,,,,,27,1,,,,,,,190,,1,8,,,,,,2,4,1,,,7,,,,,2,,,,,,3,,5,
380.2,5692,10,,24,7,2,19,,1,3,,4,,,6,,,4,1,,65,,,2,1,2,,1,,,,,,,,1,,1,5,,,2,,,,115,,,7,,,,,,,5,1,,,10,,1,,,5,,,2,,1,6,,12,
394.2,5855,4,,16,8,,6,,1,4,,,,,1,,,,,,66,,,,,3,,,,,,,,,,,,21,6,,,,,,,175,,1,25,,,,,,1,3,,,,9,,,,,5,1,,1,,2,6,,3,
400,5891,2,,6,1,,3,,1,2,,2,,,,,,1,,,22,,,,2,2,,,,,,,,,,,,1,2,,,,,,,270,,,3,,,,,,3,,,,,5,,,,,,,,,,,5,,,
410.1,6131,1,,4,2,1,8,,4,1,,,,,7,,,1,,,40,,,1,2,5,,1,1,,,,,,,,,6,12,,,,,,,199,,,1,,,,,,3,,,,4,1,,,1,,,,,,,1,7,,1,1
421.2,6287,1,,6,6,,9,,4,3,,1,,,6,,,2,,,39,,,,4,3,,,,,,,,,,,,12,14,1,,,1,,,210,,,6,,,,,,2,3,,,5,3,,,,,1,,,5,,2,5,,1,
426.8,6365,1,,8,5,,20,,,1,,,,,,1,,,,,47,,,,2,13,,,,,,,,,,3,1,,8,,,,,2,,201,,4,2,,,,,,5,,,,2,,,,,,,,,,,3,9,,,
432.4,6443,1,,1,1,1,9,,4,4,,4,,,3,1,,3,,,74,,,1,2,4,,2,,,,,,,,,,8,7,,,,,,,165,,,3,,,,,,4,2,,,3,7,,,,,1,,,3,,2,17,,8,
443.5,6600,,,5,2,2,11,,7,6,,2,,,6,1,,4,,,42,,,,1,1,,1,,,,,,,,,,2,4,,,3,,,,275,,2,5,,,,,1,1,3,,,1,8,,,,,6,,,1,,,8,,4,
454.6,6756,,,1,8,1,7,,5,12,,,,,,,,6,,,78,,,3,1,3,,3,1,,,,,,,,,5,10,,,1,1,,1,232,,,3,,,,,,5,7,1,1,2,1,,,,,,,,,,2,5,,6,
465.8,6913,,,10,4,1,7,,3,4,,,,,4,1,1,3,,,44,,,,,6,,1,,,,,,,,2,,3,1,,,,,,,206,,,4,,,,,,2,,,,,10,,,,,6,1,,,,3,11,,5,
471.3,6991,,,3,2,,7,,2,1,,1,,,,1,,1,,,60,,,2,1,10,2,,,,,,,,,5,,,4,,,,,1,,248,,2,6,,,,,,3,6,,,,,,,1,,,,,,1,2,12,,,
488,7289,,,5,2,,4,,,3,,,,,2,1,,3,,,55,,,,1,8,,2,,,,,,,,,,12,5,,,1,,,,199,,2,10,,,,,,2,,,,1,7,,,,,9,,,,,2,3,,5,
499.2,7535,,,6,2,,2,,1,4,,,,,1,,,,,,84,,,,,1,,1,,,,,,,,,,3,7,,,,,,,180,,,10,,,,,,,1,,,,6,,,,,,,,,,,3,,1,
510.3,7780,,,1,5,1,2,,1,5,,,,,6,1,,3,,,72,,,,,1,,3,,,,,,1,,1,,2,6,,,,,,,250,,,3,,,,,,1,1,,1,,5,,,,,3,,,,,2,4,,10,
515.9,7904,,,,3,,4,,2,,,,,,,2,,2,,,61,,,,,7,1,,,,,,,,,2,,,4,,,,,3,,230,,,2,,,,,,2,3,,,,,,,,,,,,,,2,3,,,
521.5,8026,,,3,5,,3,,2,3,,,,,4,,,4,,,92,,,,,3,,2,,,,,,,,,1,5,5,,,,,,,302,,,6,,,,,,3,1,,,,2,,,,,1,,,,,2,3,,6,
532.6,8272,,,,5,1,4,,,5,2,1,,,2,1,,1,,,93,,,1,1,4,,3,,,,,,,,,,5,12,,,1,2,,,231,,6,6,,,,,,2,1,,,,,,,,,,,1,,,4,,,5,
543.7,8508,,,,3,,6,,3,3,,,,,,,,3,,,79,,,1,,3,1,,,,,,2,,,2,2,8,2,,,,,,,242,,,8,,1,,,,,2,,1,1,3,,,1,,,,,1,,,,,7,
554.9,8862,,,1,4,,2,,1,3,,,,,9,1,,4,,1,80,,,,,8,,,,,,,,,,3,,5,18,,,,,,,240,,1,6,,,,,,4,3,,,4,5,,,,1,,,,,,1,,,3,
571.5,9058,,,1,4,,3,,2,1,,1,,,,1,,4,,,76,,,1,,5,,,,,,,,,,,,13,3,,,,,,,279,,,11,,,,,,,4,,,1,5,,,,,2,,,,,,,,5,
580,9134,,,2,4,,12,,1,,,2,,,,,,4,,1,59,,,,,4,,1,,,,,1,,,,,1,5,,,,,,,214,,,5,,,,,,2,3,,,,2,1,,,,1,,,,,,1,,3,
586.2,9385,,,,2,1,4,,4,11,,,,,,,,,,,62,,,,1,4,,,,,,,,,,,,4,3,,,,,,,216,,2,5,,,,,,4,4,2,,,5,,1,,,8,1,,,,,,,4,1
593.7,9538,,,2,12,,12,,1,5,,1,,,2,,,,,,170,,,,,6,,,,,,,,,,,,2,6,,,,,,,111,,,3,,,,,,7,1,,,,3,,,,,,,,3,,,,,10,
599.8,9679,,,1,3,,7,,1,14,,1,,,3,1,,2,1,,76,,,,,6,,,,,,,,,,1,,16,3,,,,,,,288,,1,12,,,,,,4,1,,,,8,,,,,5,,,,,2,,,9,
604.8,9799,,,,11,,7,,2,5,,1,,,,1,,,,,128,,,1,1,4,,,,,,,,,,,,3,13,1,,,4,,,107,,1,,,1,,,,6,,,,,6,,,2,,,5,,6,,1,1,1,9,
609.7,9910,,,2,6,1,2,,4,5,,,,,,,,4,,,80,,,,,5,,,2,,,,,,,,,9,3,,,,,,,191,,1,5,,,,,,2,3,,,,8,,,,,,1,,,,1,,,5,
617.2,10098,,,1,2,1,9,,,5,,1,,,,,,2,,,136,,,,,3,,1,,,,,,,,,,2,7,,,,,,,180,,1,4,1,,2,,,2,3,3,,2,3,,,,1,,,,1,,2,,,5,1
622.1,10217,,,,3,,2,,,4,,,,1,,,,,,,74,,,,,4,,,,,,,,,,1,,18,3,1,,,,,,211,,,6,,,,,,,2,1,,,5,,,,,1,,,,,1,,,5,
629.5,10445,,,,3,,4,,,6,,2,,,16,1,,1,,,85,,,1,,1,,,,,,,1,,,4,1,5,11,1,,,,,,180,,1,1,,,,1,,1,4,1,1,5,5,,1,,4,1,,,7,1,1,,,5,
634.5,10750,,,1,3,,4,,2,5,,,,,,,,2,,,80,,,1,,3,,,,,,,,,,,,18,6,,,,,,,190,,1,3,,,,,,,2,,,,7,,,,,1,,,,,,,,8,
641.9,11208,,,1,13,,4,,1,1,,,,,2,,,4,,1,119,,,1,,3,,,,,,,,,,,,4,7,,,2,,,,128,,3,3,,,,,,3,4,,3,,1,,,1,,,3,,3,,1,,,11,
648.1,11590,,,1,8,,10,,2,3,,,,,,1,,3,,,82,,,1,1,25,,,,,,1,,,,1,1,1,10,,,,,1,,149,,2,2,,,,,,4,8,,,,,,,,,2,,,,2,3,,,,
651.8,11819,,,2,6,,12,,1,5,,,,,1,1,,,,,84,,,,,2,,,1,,,,,,,,,23,,,,,,,,219,,,1,,,,,,2,1,,,,6,,,,,1,,,,,,,,4,
654.3,11972,,,,7,,20,,1,3,,1,,,5,1,,,,2,175,,,3,,1,,1,,,,,,,,1,,3,9,,,1,,,,95,1,,3,,,,1,,2,4,,,,3,,,,2,,,,1,,3,,,9,1
659.2,12277,,,,5,,1,,2,5,,,,,,1,,,,,92,,,,,8,,,,,,,,,,,,6,3,,,,,,,216,,2,19,,,,,,4,1,,,,11,,,,,3,,,,,2,,,4,
664.2,12583,,,,5,,8,,2,6,,1,,,,,,,,,56,,,1,,2,,,,,,,,,,,,15,5,,,,,,,218,,,13,,,,,,2,1,,,,3,,,,,3,,,,,2,,,3,
666.6,12693,,,,9,3,13,,3,21,,,,,2,,,3,2,,139,1,,,,1,,,1,1,,,,,,,,5,2,1,,1,,,,118,,,5,,,,,1,2,10,,,2,3,,1,,,1,,,2,,4,,,8,
671.6,12834,,,,9,1,5,,1,3,,,,,,,,1,,,64,,,2,,1,,,,,,,,,,1,,15,9,,,,,,,155,,,15,,,,,,2,2,,,1,4,,,,,1,,,,,,,,1,
676.5,12996,,,,8,,11,,2,6,,,,,,,,,,,59,,,1,,5,,1,2,,,,,,,,,21,3,,,,,,,243,,,9,,,,,,3,2,,,,5,,,,,1,,,,,3,,,2,
679,13089,,,,21,,17,,6,4,1,,,,,,,,,,165,,,,,9,,,1,,,,,,,,1,6,27,,,1,,,,95,,1,7,,,,,,2,3,,,1,4,,,,,,1,1,8,,8,,,1,
683.9,13273,,,1,8,,16,1,2,6,,,,,,,,,,,57,,,,,5,,,,,,,,,2,,1,17,7,,,,,,,202,,,14,,,,,,1,6,,,,13,,,,,2,,,,,1,,,2,
691.4,13551,,,,20,3,21,,11,23,,,,,,,,1,,,66,,,1,,4,,,1,,,,,,,1,,6,8,,,,,,,184,,,2,,,,,,2,1,,,,1,,,,,,2,,12,,4,1,,9,
696.3,13735,,,1,7,,13,,3,4,,,,,,,,1,,,67,,,,,1,,,,,,,,,,,,21,3,2,,,,,,239,,,18,,,,,,1,1,,,,2,,,,,,,,,,2,,,1,
702.3,13920,,,1,10,,10,,1,9,,,,,,,,3,,,51,,,1,,10,,,,,,,,,,,,21,6,1,,,,,,186,,1,15,,,,,,3,,,,,7,,,,,,,,,,3,,,2,
703.7,14012,,,,12,,16,,4,16,,,,,,1,,3,,,106,,,1,,6,,,1,,,,,,,,,2,9,,,1,,,,144,,,4,,,,,,1,1,,,1,,,1,,,,,,22,,4,,,2,
708.7,14196,,,,11,,19,,4,10,,,,,,,,1,,,15,,1,,,5,,,,,,,,,,,,41,8,1,,,,,,263,,,11,,,,,,1,,,,,7,,,,,2,,,,,1,,,1,
716.1,14473,,,1,32,1,56,,3,11,,,,,,1,,1,,,23,,,1,,11,,,,,,,,,,,2,16,34,,,,,,,96,,2,9,,,,,,4,3,,1,2,6,,,,,1,,,14,1,6,,,,
