depth,text,acer,amaranthaceae,arbutus,artemisia,asteraceae,berberis,betula,brassicaceae,buxus,caryophyllaceae,cistus,corylus,ephedra fragilis-type,ephedra major subsp. major,ericaceae,fraxinus,genista-type,hedera,helianthemum,ilex,juglans,juniperus-type,lamiaceae,olea,phillyrea,pinus nigra-type,pinus pinaster,pistacia,plantago,poaceae,poaceae (cerealia),polygonum aviculare-type,quercus (deciduous),quercus (evergreen),ranunculus,rhamnus,salix,sordaria-type,taxus,thecaphora,transeauina,trichuris,typha,ulmus,vitis,zygnema
16,890.9,,3,,10,12,1,,,,,1,4,,,7,2,2,,,,,4,,9,,283,18,5,12,29,,12,16,10,,,,43,,4,,1,1,,,9
42,1961.1,,1,1,19,1,,,,,,1,1,3,,2,12,1,,,,,13,,1,1,87,6,9,,69,,12,,9,,,1,39,,4,,1,3,,,8
60,3207.6,,11,,24,,,,1,,1,1,2,1,2,6,2,,,1,,,25,,4,5,301,14,4,,44,,1,7,15,5,,1,,,,,,7,,,4
82,5105.5,2,8,,18,25,,1,,,,,,,,2,,,,1,,,21,,2,2,107,51,7,,27,,,7,11,,,1,,,,,,,,,9
102,6774.6,4,,2,,,,10,,1,,,8,,,5,3,,,,4,1,,,1,2,87,11,2,2,51,,,23,12,9,,2,,1,,,,,2,,19
126,9159.9,,8,,37,8,,,2,,1,1,3,,5,3,,1,,,,,39,,2,,276,40,8,2,41,,,,,,,,,,,,,4,1,,12
146,11931.1,,3,,31,3,,8,1,2,,,6,,3,1,2,,,,,,38,,4,3,135,16,,,100,,1,5,8,1,,1,,1,,12,,,1,,21
168,18747.9,1,22,,113,,,8,1,2,,,2,,9,6,,,,,,,7,,1,,112,11,,1,93,,,9,9,,,2,,,,,,,1,,
12,691.7,,4,,12,2,2,3,,,,1,6,,,1,2,2,,,,2,5,,3,2,301,16,3,8,22,,3,17,9,,,,7,,5,1,,1,,1,12
34,1608,3,5,,32,9,,,1,,1,1,,3,,1,1,,,,,,27,4,2,,231,5,8,2,99,,1,11,7,,,,7,1,,,,10,,,3
52,2668.3,1,4,,25,5,,3,,,,1,3,1,,1,6,,,,,,31,,2,,331,10,7,,34,,,9,9,3,,,,,,,,12,,,7
10,587,,10,,27,8,1,,,,,1,,,,12,11,2,,,,3,18,,7,6,115,33,2,9,82,1,12,4,25,4,1,,38,,5,2,1,2,,,62
30,1513.3,,8,,10,21,2,3,,,2,2,4,1,,3,,,,,,1,7,1,,5,322,18,2,2,39,,1,14,12,,,1,,,,,,,,,4
50,2529.7,,10,,3,1,,,,,2,1,1,,,3,1,,,,,1,11,,5,3,300,13,9,,36,,1,9,14,2,1,3,1,,,2,,10,,,48
72,4210.7,,9,,28,11,,,2,,1,1,,3,1,2,,,,2,,,22,5,2,,163,12,,,34,,,2,8,,,2,,,,,,2,,,11
70,4029.7,,7,,13,11,1,,2,,1,,4,8,2,1,,,,,,,19,2,1,,321,9,,,41,,,5,3,,,,,,,,,,,,8
90,5741,6,,2,3,3,,4,,1,,,3,1,,7,2,,1,,2,,2,,8,4,103,32,12,,39,,,22,28,4,1,2,,1,,,,,4,,12
110,7541,,2,,7,,,3,,1,,,,,,1,3,,,,,,6,,1,,101,30,1,,55,,,8,,8,,3,,,,,,8,,,23
130,9555.9,,12,,35,12,,,,,,,,,3,1,1,,,,,,24,,2,2,286,26,12,,59,,,8,1,,,1,,,,,,15,,,11
150,12946.3,2,4,,54,4,,1,3,,1,2,1,,5,8,11,,,2,,,31,,3,,120,11,3,,96,,,2,3,4,,1,,,,4,,,,,13
166,18068,,11,,87,10,,,1,,1,,6,,10,3,,,,,,,9,,,3,79,8,,1,134,,1,8,3,,,2,,,,,,1,2,,1
92,5891.6,1,,2,1,2,,8,,1,,,7,1,,15,3,,1,,1,,1,,2,10,89,27,8,,36,,,19,49,3,1,2,,1,,1,,,1,,38
112,7745.2,,3,,11,1,,8,,,,,8,,,1,2,1,,,,,8,,2,,138,28,6,,41,,1,5,2,4,,1,,,,,,13,,,38
132,9784.4,,1,1,17,15,,,,,2,,2,,,,1,,,,,,26,1,1,1,301,30,,,66,,1,,2,,1,,,,,,,8,,,8
152,13572.4,,11,1,69,5,,2,,1,,,,,9,5,2,,,1,,,27,,,,91,9,,,131,,,10,2,1,2,,,1,,2,,,1,,9
14,796.2,,10,,34,1,1,2,,,,1,3,1,,9,5,3,,,,1,11,,5,7,67,38,2,7,90,,15,8,30,,1,,21,,,,,12,,,15
38,1749.8,1,10,,29,2,1,,1,,1,1,,8,,1,5,,,3,,,18,,1,1,152,7,2,1,177,,3,6,8,1,,,37,,2,,,2,1,,19
58,3075.3,1,8,1,31,2,,,2,,1,2,3,,,3,,2,,2,,,29,,1,2,293,12,7,,39,,2,4,11,,,,,,,,,,,,11
78,4745.9,,2,,7,2,,,3,,1,1,2,1,,2,1,1,,1,,,2,,1,,254,13,,2,43,,1,8,3,,,,,,,3,,,,,26
98,6400.7,5,1,,,2,1,2,,2,,1,12,,,9,15,,2,,,1,2,,12,1,90,10,,,20,,,32,21,5,2,2,,2,,,,,3,,19
118,8346.1,,10,,28,20,,4,2,1,1,,1,,7,3,,,,,,,36,2,5,,193,42,,1,50,,,5,,,1,,,,,,,14,,,12
138,10451.4,,,,12,5,,5,,,,1,1,,,9,2,,,,,,13,,4,5,288,24,7,,48,,,4,29,6,4,3,,,,5,,2,,,27
158,15441.2,,8,,75,1,,7,2,,1,,8,,4,3,1,,,3,,,21,,,,93,11,2,,105,,,,5,,,2,,,,1,,,,,4
8,462.8,1,3,,8,8,2,,,,,2,9,1,,3,6,3,,,,1,7,3,12,,321,12,3,8,33,2,11,13,8,2,1,,32,,,,,5,,1,14
28,1427.3,,2,,8,1,2,5,,,,1,1,,,8,3,3,,,,,9,2,3,3,276,28,4,4,45,,11,3,16,,,,5,,3,,,5,1,,12
48,2382.2,,3,,7,1,,1,,,,1,,,,2,4,,,,,,9,,7,,346,13,6,1,31,,1,4,12,1,,,2,,,1,,,,,22
68,3871.3,,7,1,28,13,,1,1,,1,,,1,5,2,3,,,,,,37,1,3,3,142,28,2,,40,,,7,18,,,,,,,,,2,,,7
88,5600,2,1,2,5,2,,8,,,,,2,,1,5,5,,1,,2,,,,9,7,95,38,11,1,41,,1,20,20,,1,2,,1,,,,,2,,11
108,7347.4,2,1,1,11,,,7,,,,,2,,,,8,,,,,,5,,3,,115,22,2,,49,,,9,1,1,,,,,,1,,,,,13
128,9358.3,1,7,,21,9,,1,1,,1,1,5,,2,,1,,1,,,,12,,8,,290,31,,1,34,,,6,3,,,2,,1,,1,,6,,,9
148,12439.1,,7,,58,1,,,1,,1,,5,,5,2,3,,,,,,29,,3,1,90,10,,1,141,,,7,2,3,,1,,,,5,,,,,11
172,20033.3,,23,,102,1,,13,2,,1,1,8,,14,3,5,,,4,,,10,,2,2,90,15,2,,121,,,6,10,,1,3,,,,,,,,,
18,977.6,,7,,28,3,2,,,,,2,2,1,,14,7,2,,,,2,12,,10,9,102,44,4,12,69,,2,6,31,,1,1,10,,3,1,,,1,,20
32,1560.3,,11,,24,12,1,1,,,1,2,,5,,2,,,,,,,11,3,1,,258,10,6,1,61,,1,8,9,,,,,,1,,,6,,,5
54,2807.7,,8,,35,12,1,2,1,,2,1,,,,2,,,,,,,33,2,,,308,12,6,,28,,,8,10,,,,,,,,,7,,,6
74,4393.5,1,3,,4,5,,2,3,,,,,2,,9,1,,,2,,,7,,7,12,70,44,8,,38,,,9,29,3,,,,,,,,4,,,14
96,6213.4,4,,2,3,2,,12,,2,,1,10,,,7,14,,1,,,1,,,8,8,102,8,10,,34,,,40,28,3,1,1,,1,,1,,,1,,15
116,8144.5,2,4,,14,12,1,5,,1,1,,2,,4,4,,,,,,,27,,,,165,41,4,2,29,,,1,,2,,,,1,,1,,9,,,29
136,10235.1,,,,10,6,,6,,,,1,4,,,4,2,,1,,,,10,,1,,351,27,1,2,25,,,,14,7,,2,,1,,1,,2,1,,12
156,14818.7,2,13,,79,1,,10,2,,,1,5,,10,1,4,,,,,,21,,1,2,100,13,5,,98,,1,14,6,,,1,,,,2,,,,,14
2,-50.5,1,8,,18,12,1,4,,,,1,7,5,,10,10,3,,,,3,21,2,11,11,88,37,2,10,131,2,18,16,39,2,1,,33,,2,2,,12,,1,50
20,1063.8,,4,,7,2,2,,,,,1,8,,,3,1,1,,,,,3,,5,1,246,12,6,13,38,,2,11,6,1,1,1,12,,,,,1,1,,13
22,1157.5,,5,,29,2,1,1,,,,4,,,,12,12,3,,,,1,21,,11,8,99,41,6,8,132,,7,3,28,7,1,,32,1,,1,1,5,,,61
36,1670.5,2,12,,29,2,,,2,,1,1,5,2,,,2,,,2,,,23,,1,5,178,22,1,2,145,,2,10,11,2,,,8,,1,,,,,,28
40,1829,,,,25,1,,,,,,2,,5,,1,13,,,,,,15,,7,4,63,29,4,,213,,9,4,17,,,,55,,4,,2,,,,9
56,2943.4,,6,,11,11,,,2,,1,2,,,2,7,5,,,2,,,12,3,1,4,322,18,8,1,41,,,3,16,,,,,,,,,,,,8
62,3376.2,,12,,19,,,,,,1,1,,2,3,5,1,,,,,,16,,5,11,361,8,3,,42,,,8,11,2,,,,,,1,,,,,41
76,4571.5,,8,,23,8,,1,3,1,1,,3,1,,2,2,,,1,,1,11,,1,2,87,31,1,1,30,,,3,14,1,,,,1,,1,,,1,,61
80,4920.2,1,8,,16,2,,,,,2,,1,1,,1,,,,1,,,12,,,,179,20,1,,28,,,9,6,,,1,,,,,,5,,,11
94,6042.5,3,,3,2,1,,9,,1,,,11,,1,12,8,,1,,1,1,,,1,9,80,21,3,2,44,,1,31,29,,1,6,,,,2,,,1,,12
100,6587.3,5,,1,1,2,,5,,2,,1,9,,1,13,2,,3,,2,2,,,4,3,79,15,3,,28,,,29,18,2,1,4,,,,,,,1,,17
114,7945.7,,4,,29,2,,7,,,1,1,,,,2,1,,1,,,,12,,,2,170,31,,2,38,,,6,3,1,,1,,,,,,7,,,51
120,8543.5,,6,1,11,21,,4,1,,2,2,1,,2,2,8,,,2,,,11,4,8,4,221,37,5,,39,,,,4,,,,,,,,,6,1,,9
134,10014.4,2,,1,21,8,,1,,,,1,,,,1,,,,,,,12,,,,287,39,2,1,45,,,5,8,,,,,,,1,,7,2,,10
140,10671.1,1,,,13,5,,,,2,,,5,,1,12,3,,,,,,12,,10,7,237,19,3,,59,,,7,21,4,3,1,,,,3,,1,,,31
154,14193.9,,6,,63,11,,8,1,1,1,,5,,7,3,3,,,1,,,16,,2,,99,20,,1,109,,,4,10,,,1,,1,,1,,,,,4
160,16060.7,,16,,88,4,,6,2,4,3,2,6,,9,10,,,,1,,,18,,1,1,103,9,,,99,,,6,,,,,,,,2,,1,2,,12
170,19427.1,2,12,1,99,,,6,1,2,2,2,3,,12,8,2,,,2,,,7,,2,1,89,10,1,,115,,,8,5,,2,1,,,,,,,,,
4,165.3,1,7,,33,20,1,2,,,,1,2,2,,11,12,4,,,,2,24,4,12,11,111,39,1,8,101,3,9,5,31,3,,,29,,,,,8,,1,22
24,1252.4,,1,,6,2,1,,,,,1,3,,,7,2,3,,,,,6,,12,5,268,19,6,9,42,,10,11,11,8,,,44,,3,1,1,,,,54
44,2093.3,,1,,8,1,1,4,,,,4,,2,,4,10,,,,,,11,,1,5,199,21,5,1,58,,13,2,12,,1,,42,,5,,,,,,13
66,3710.5,1,8,,13,,1,2,,,,,1,5,6,8,5,,,,,,11,,4,9,86,32,7,2,38,,,4,38,,1,,,,,,,8,1,,5
86,5457.9,1,2,1,3,3,1,9,,,,1,,1,,5,2,1,2,,,,2,,2,3,114,39,5,,33,,1,18,13,,,1,,,,,,4,2,,14
106,7153.8,1,,,6,,,15,,1,,1,6,,1,,7,,,,,,1,,1,2,88,8,,,32,,,50,3,2,,2,,,,,,1,,,10
124,8958.6,,11,1,12,11,,3,1,,1,,,,7,2,,,,1,,,17,3,11,,253,28,3,1,48,,,6,3,,,2,,,,,,7,,,17
144,11477.9,1,2,,35,3,,4,,1,,1,8,,3,11,2,,,,,,45,,5,4,91,31,3,,123,,,3,15,5,2,,,,,8,,,1,,21
164,17395.2,,19,,95,15,,,1,,,1,3,,7,2,6,,,4,,,12,,2,3,101,21,1,2,102,,,,11,,,1,,,,1,,,,,2
6,336,2,12,,31,13,1,1,,,,1,2,,,11,11,3,,,,,14,5,13,12,166,39,,7,77,2,12,5,24,2,1,1,12,,1,1,1,7,,1,48
26,1342.4,,2,,9,1,1,,,,,3,,,,9,5,4,,,,,11,,5,8,197,36,2,6,71,,11,2,29,,,2,29,,4,2,,,,,20
46,2233.7,,2,1,8,1,,4,,,,2,,,,7,5,,,,,,8,,2,2,380,17,6,2,34,,3,7,15,,,,6,,3,,,,,,31
64,3545,,9,,17,,,,,,1,,,6,8,12,,,,,,1,18,,7,7,101,26,5,1,34,,,8,27,1,,1,,,,,,,,,16
84,5292.3,1,1,,7,12,,4,,,,,3,,,2,,,1,,,,5,1,,4,99,44,8,,30,,,21,11,,,3,,,,,,4,1,,8
104,6962.8,3,,,2,,,12,,,,,3,,,2,1,,1,,,1,1,,1,,96,12,5,,33,,,38,8,3,,5,,1,,1,,,,,18
122,8751.5,3,10,,25,12,,,2,,3,,4,,9,,5,,,3,,,31,2,1,3,202,33,,,20,,,2,,,,4,,,,,,8,,,13
142,11072.7,,1,1,11,4,1,,,,,,,,2,13,5,1,,,,,15,,2,9,198,22,,,70,,,5,18,8,1,,,,,1,,,,,48
162,16728.7,1,9,1,81,3,,2,1,,1,,4,,6,8,7,,,1,,,15,,2,,85,9,,1,131,,,12,6,,1,,,1,,1,,,,,8
